model,dataset,term,metric,window_idx,n_windows,prediction_bias_mean,prediction_bias_abs_mean,prediction_bias_std
sundial,Australia_Solar_H,long,trend_linearity,0,1,116.84510588362187,116.84510588362187,0.0
sundial,Australia_Solar_H,long,trend_linearity,1,1,-66.69524915785986,66.69524915785986,0.0
sundial,Australia_Solar_H,long,trend_linearity,10,1,141.56329104351943,141.56329104351943,0.0
sundial,Australia_Solar_H,long,trend_linearity,11,1,-50.81065241083523,50.81065241083523,0.0
sundial,Australia_Solar_H,long,trend_linearity,12,1,159.6759318457592,159.6759318457592,0.0
sundial,Australia_Solar_H,long,trend_linearity,13,1,337.6907881874241,337.6907881874241,0.0
sundial,Australia_Solar_H,long,trend_linearity,14,1,-420.07568371089974,420.07568371089974,0.0
sundial,Australia_Solar_H,long,trend_linearity,15,1,-1124.3243286085822,1124.3243286085822,0.0
sundial,Australia_Solar_H,long,trend_linearity,16,1,1128.6038976679185,1128.6038976679185,0.0
sundial,Australia_Solar_H,long,trend_linearity,17,1,-532.7084172317165,532.7084172317165,0.0
sundial,Australia_Solar_H,long,trend_linearity,18,1,-78.2671050112402,78.2671050112402,0.0
sundial,Australia_Solar_H,long,trend_linearity,19,1,-151.91415960492844,151.91415960492844,0.0
sundial,Australia_Solar_H,long,trend_linearity,2,1,400.5905276068506,400.5905276068506,0.0
sundial,Australia_Solar_H,long,trend_linearity,3,1,-290.57081728880235,290.57081728880235,0.0
sundial,Australia_Solar_H,long,trend_linearity,4,1,316.6590228404757,316.6590228404757,0.0
sundial,Australia_Solar_H,long,trend_linearity,5,1,-91.59511177435789,91.59511177435789,0.0
sundial,Australia_Solar_H,long,trend_linearity,6,1,-269.40202766588686,269.40202766588686,0.0
sundial,Australia_Solar_H,long,trend_linearity,7,1,54.11623185468841,54.11623185468841,0.0
sundial,Australia_Solar_H,long,trend_linearity,8,1,-363.773003448336,363.773003448336,0.0
sundial,Australia_Solar_H,long,trend_linearity,9,1,-126.16371400520606,126.16371400520606,0.0
sundial,Australia_Solar_H,long,seasonal_strength,0,1,0.13656303089019262,0.13656303089019262,0.0
sundial,Australia_Solar_H,long,seasonal_strength,1,1,0.08606732426915886,0.08606732426915886,0.0
sundial,Australia_Solar_H,long,seasonal_strength,10,1,0.17399604650509237,0.17399604650509237,0.0
