prediction_mode,count,median,mean,std
mean,4995,-0.1198431099074639,-0.9131683878479288,11.499331331578711
forward,4995,-0.0183500629341483,-0.6230523177043867,8.43357338776911
linear,4995,-0.0186672563934486,-0.3085030185132208,6.825039276418762
backward,4995,-0.0119268830334998,-0.28841671522174545,7.83483277575904
