model,dataset,missing_ratio,imputation_method_norm,relative_smape_gain,score_full,score_decile
sundial,ETTh1,0.3,saits,0.0478093854966004,0.5828249291156055,7
sundial,ETTh2,0.1,mean,-0.0239947282078049,0.3363267525634463,1
sundial,ETTh2,0.1,forward,-0.0181852353404139,0.4209433007588716,2
sundial,ETTh2,0.1,linear,-0.0237931421172295,0.4323053036761927,3
sundial,ETTh2,0.1,gp_rbf,-0.0258972278879875,0.5205663755414917,5
sundial,ETTh2,0.1,saits,-0.0173433180572325,0.6102562809019152,7
sundial,ETTh2,0.2,mean,0.0199437715512828,0.5831864404905583,7
sundial,ETTh2,0.2,forward,-0.0250391773133916,0.4934365752025857,4
sundial,ETTh2,0.2,linear,-0.0044511762182193,0.4231534893405861,2
sundial,ETTh2,0.2,gp_rbf,-0.0102169755303954,0.4197483462263263,2
sundial,ETTh2,0.2,saits,-0.0104941419769411,0.4737110764460934,4
sundial,ETTh2,0.3,mean,-0.0125730355368267,1.2438657030450082,10
sundial,ETTh2,0.3,forward,0.0569136090877352,0.8994217687854436,9
sundial,ETTh2,0.3,linear,-0.0023964509469491,0.8893558973643123,9
sundial,ETTh2,0.3,gp_rbf,-0.0020859939953179,0.8474196018685304,9
sundial,ETTh2,0.3,saits,-0.0209195359518802,0.4775875683869655,4
sundial,EWELD_Load_15T,0.1,mean,0.1283662360961767,0.5680498135589078,6
sundial,EWELD_Load_15T,0.1,forward,0.0971742974135712,0.7867737705704824,9
sundial,EWELD_Load_15T,0.1,linear,0.0689996771697099,0.6565054560244311,8
sundial,EWELD_Load_15T,0.1,gp_rbf,0.1326302154263466,0.5489197123625621,6
sundial,EWELD_Load_15T,0.1,saits,0.0286430661884181,0.526273907381445,5
sundial,EWELD_Load_15T,0.2,mean,0.2108894201838421,0.628337585356669,7
sundial,EWELD_Load_15T,0.2,forward,0.253007633127659,1.0788001517275114,10
sundial,EWELD_Load_15T,0.2,linear,0.1196781257671646,0.6386083342175112,8
sundial,EWELD_Load_15T,0.2,gp_rbf,0.2272676272762342,0.6727251330637173,8
sundial,EWELD_Load_15T,0.2,saits,0.0554251201720968,0.4720989797859617,4
sundial,EWELD_Load_15T,0.3,mean,0.3847039423320403,0.6939338453964702,8
sundial,EWELD_Load_15T,0.3,forward,0.3702675696955105,1.2266909449521075,10
sundial,EWELD_Load_15T,0.3,linear,0.2699032036248735,0.8636344283151126,9
sundial,EWELD_Load_15T,0.3,gp_rbf,0.3686592909957952,0.797588117859588,9
sundial,EWELD_Load_15T,0.3,saits,0.0995558840236508,0.648273034665665,8
