dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean
Australia_Solar_H,long,020,backward,16,1.954666785018104,140.59920283203218,-12.681362386624528
Australia_Solar_H,long,020,backward,17,1.6487463982816193,127.90651684741808,-5.356606242053502
Australia_Solar_H,long,020,backward,18,1.315736959262755,121.96044977963518,-18.33029393537447
Australia_Solar_H,long,020,backward,19,1.4359447675447259,145.21843659663088,18.54977915475297
Australia_Solar_H,long,030,backward,0,1.6530782830887816,147.22813166832637,-5.298851937089921
Australia_Solar_H,long,030,backward,1,1.7808068852498433,195.7820890999696,11.876183219270672
Australia_Solar_H,long,030,backward,2,1.8517057164497568,126.59455730426723,-9.473325398799432
Australia_Solar_H,long,030,backward,3,2.1850526235635948,116.26183140152446,-15.324256103144933
Australia_Solar_H,long,030,backward,4,1.8080853780877704,200.0,46.82550993569376
Australia_Solar_H,long,030,backward,5,1.9835841011944093,120.20198024399822,-19.929131636267712
Australia_Solar_H,long,030,backward,6,2.294635915330325,114.81370007038485,-24.06961110849217
Australia_Solar_H,long,030,backward,7,1.8573560993508857,125.27059630352251,2.0049812405032412
Australia_Solar_H,long,030,backward,8,2.2608941636079125,133.91329144965493,6.148601702478089
Australia_Solar_H,long,030,backward,9,1.636638210261112,178.92556564743373,17.496276577142453
Australia_Solar_H,long,030,backward,10,1.6382549308932248,187.65008695255642,14.730074891521667
Australia_Solar_H,long,030,backward,11,1.662858713251377,180.8643122588603,6.671894534658122
Australia_Solar_H,long,030,backward,12,1.5709234813661264,163.44248019396912,-14.662155855154339
Australia_Solar_H,long,030,backward,13,1.7889845366969412,155.05679929884622,4.114093393005135
Australia_Solar_H,long,030,backward,14,1.6121686500119616,141.7655456945576,-12.029380922158225
Australia_Solar_H,long,030,backward,15,1.742121802418915,168.36548235801513,8.0054354924211
Australia_Solar_H,long,030,backward,16,1.8561288028303327,159.32274447016667,6.042179251509964
Australia_Solar_H,long,030,backward,17,1.5654382175531556,123.11482136534767,-10.148301724123911
Australia_Solar_H,long,030,backward,18,1.4837605031926384,138.76094753938838,-1.5297961756212715
Australia_Solar_H,long,030,backward,19,1.4476440956650316,113.10292789502489,-13.56572954685302
Coastal_T_S_15T,long,010,backward,0,1.2840747689959375,0.21808136184034932,0.008795921370932047
Coastal_T_S_15T,long,010,backward,1,2.2297849645496073,0.17417481306205118,-0.12898141241468386
