history_metric,trend_strength,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,trend_linearity,spectral_entropy
trend_strength,0.0026454050484104774,0.022074706588236338,0.044414531344548244,-0.01751533817997083,-0.00915466299327639,-0.00586592676540854
seasonal_strength,-0.018584021744266214,0.1237575248500403,0.09135920466643377,-0.011665133680241257,-0.017103180231407455,-0.007074038936059739
seasonal_correlation,0.015224942110855403,0.09615147575332926,0.13391112298997204,0.12476641484003784,-0.0027650244517397195,0.03949982490762301
residual_autocorr_lag1,-0.01705489948012021,-0.03958765723837691,0.01680706204801475,0.026957209238579877,-0.023815590660204583,0.06104883987527987
trend_linearity,0.0035851906570540646,-0.009609591059867537,0.0006671837723695245,0.02869163573445034,-0.02756824036658493,-0.014455710640807843
spectral_entropy,0.04454966396275554,-0.03181184774507168,-0.043717722398929175,-0.01531764830034545,0.02668586298583021,-0.036771705793254034
