model,dataset,missing_ratio,target,combination,n_methods,spearman
chronos2,Finland_Traffic_15T,0.3,relative_mse_gain,drop_trend,8,0.6666666666666669
chronos2,Finland_Traffic_15T,0.3,relative_mse_gain,drop_seasonal,8,0.6666666666666669
chronos2,Finland_Traffic_15T,0.3,relative_mse_gain,drop_residual,8,0.30952380952380953
chronos2,Finland_Traffic_15T,0.3,relative_mse_gain,drop_frequency,8,0.4761904761904762
chronos2,Finland_Traffic_15T,0.3,relative_mse_gain,full,8,0.5476190476190477
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,trend_only,8,0.7380952380952381
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,seasonal_only,8,-0.14285714285714288
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,residual_only,8,-0.07142857142857144
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,frequency_only,8,-0.4047619047619048
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,drop_trend,8,-0.28571428571428575
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,drop_seasonal,8,-0.1666666666666667
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,drop_residual,8,-0.2142857142857143
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,drop_frequency,8,0.04761904761904763
chronos2,NE_China_Wind_H,0.1,relative_mse_gain,full,8,-0.261904761904762
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,trend_only,8,0.07142857142857144
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,seasonal_only,8,0.04761904761904763
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,residual_only,8,-0.6190476190476191
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,frequency_only,8,0.0
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,drop_trend,8,-0.11904761904761905
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,drop_seasonal,8,0.07142857142857144
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,drop_residual,8,-0.11904761904761905
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,drop_frequency,8,-0.38095238095238104
chronos2,NE_China_Wind_H,0.2,relative_mse_gain,full,8,-0.2380952380952381
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,trend_only,8,-0.7619047619047621
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,seasonal_only,8,-0.261904761904762
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,residual_only,8,0.09523809523809526
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,frequency_only,8,0.3571428571428572
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,drop_trend,8,0.19047619047619052
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,drop_seasonal,8,0.2380952380952381
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,drop_residual,8,0.04761904761904763
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,drop_frequency,8,-0.6666666666666669
chronos2,NE_China_Wind_H,0.3,relative_mse_gain,full,8,0.04761904761904763
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,trend_only,8,0.4047619047619048
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,seasonal_only,8,-0.04761904761904763
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,residual_only,8,-0.28571428571428575
