dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean,prediction_mode,y_value
OpenElectricity_NEM_5T,long,010,backward,0,2.1374475797649963,17.49472966695426,0.4330015733242547,backward,0.4330015733242547
OpenElectricity_NEM_5T,long,010,backward,1,1.6549146864401745,18.755724240201232,-0.762273823023289,backward,-0.762273823023289
OpenElectricity_NEM_5T,long,010,backward,2,1.425979973969447,21.692767443537434,-0.46148154755303494,backward,-0.46148154755303494
OpenElectricity_NEM_5T,long,010,backward,3,1.1469037352530107,25.197523298931095,-0.7035145392589861,backward,-0.7035145392589861
OpenElectricity_NEM_5T,long,010,backward,4,1.2989060089578466,22.17479718691174,0.4622298282043573,backward,0.4622298282043573
OpenElectricity_NEM_5T,long,010,backward,5,1.7616398260309265,19.80100243609007,0.16586182267677074,backward,0.16586182267677074
OpenElectricity_NEM_5T,long,010,backward,6,1.646583805979599,20.01754512733101,0.08637950003098283,backward,0.08637950003098283
OpenElectricity_NEM_5T,long,010,backward,7,1.2749998563855243,18.65900515152529,-0.3624683093167711,backward,-0.3624683093167711
OpenElectricity_NEM_5T,long,010,backward,8,1.6264299104243738,19.103985274532818,-0.0469317781217633,backward,-0.0469317781217633
OpenElectricity_NEM_5T,long,010,backward,9,1.5597424567340537,22.087941918269806,0.03401111937817802,backward,0.03401111937817802
OpenElectricity_NEM_5T,long,010,backward,10,1.5551322260676836,20.865069890646524,-0.261382762695316,backward,-0.261382762695316
OpenElectricity_NEM_5T,long,010,backward,11,2.010019804095877,20.351028298725808,-1.6475691992307304,backward,-1.6475691992307304
OpenElectricity_NEM_5T,long,010,backward,12,1.1000822182063716,19.116209005631816,0.7798387131301183,backward,0.7798387131301183
OpenElectricity_NEM_5T,long,010,backward,13,1.7152165766061251,20.13403466403661,0.26631353203503494,backward,0.26631353203503494
OpenElectricity_NEM_5T,long,010,backward,14,1.9361439983894893,18.620097350134955,0.8593203140878245,backward,0.8593203140878245
OpenElectricity_NEM_5T,long,010,backward,15,1.778773492289147,19.65339241185188,-0.8866543656578578,backward,-0.8866543656578578
OpenElectricity_NEM_5T,long,010,backward,16,1.297120734446243,23.22885113535107,0.3049290603116823,backward,0.3049290603116823
OpenElectricity_NEM_5T,long,010,backward,17,1.4846117212030285,27.13207660846012,0.6850266660683353,backward,0.6850266660683353
OpenElectricity_NEM_5T,long,010,backward,18,2.785118086999176,19.96446473028051,0.6290892786072675,backward,0.6290892786072675
OpenElectricity_NEM_5T,long,010,backward,19,1.9691431596032665,19.06245414341679,0.3709286410110728,backward,0.3709286410110728
OpenElectricity_NEM_5T,long,020,backward,0,1.6535890664343031,17.64170761208278,0.5799795184527738,backward,0.5799795184527738
OpenElectricity_NEM_5T,long,020,backward,1,1.9597052862103395,18.098882680911718,-1.4191153823128033,backward,-1.4191153823128033
OpenElectricity_NEM_5T,long,020,backward,2,2.3974257781892363,22.545644495858962,0.39139550476849294,backward,0.39139550476849294
OpenElectricity_NEM_5T,long,020,backward,3,1.7287421684360416,25.008988340211413,-0.8920494979786682,backward,-0.8920494979786682
OpenElectricity_NEM_5T,long,020,backward,4,1.3894155201432545,22.062904101517553,0.35033674281017113,backward,0.35033674281017113
OpenElectricity_NEM_5T,long,020,backward,5,1.306778231202289,18.490136779569283,-1.1450038338440152,backward,-1.1450038338440152
OpenElectricity_NEM_5T,long,020,backward,6,1.4854195490367863,20.73346243912618,0.8022968118261495,backward,0.8022968118261495
OpenElectricity_NEM_5T,long,020,backward,7,1.7674050051328152,19.621018723416494,0.5995452625744342,backward,0.5995452625744342
OpenElectricity_NEM_5T,long,020,backward,8,1.2227034812401825,19.476137867970632,0.32522081531605096,backward,0.32522081531605096
OpenElectricity_NEM_5T,long,020,backward,9,2.3104982712766,22.965494599884607,0.9115638009929796,backward,0.9115638009929796
OpenElectricity_NEM_5T,long,020,backward,10,2.063050561977408,20.880881378683373,-0.24557127465846662,backward,-0.24557127465846662
OpenElectricity_NEM_5T,long,020,backward,11,1.7478808908444101,20.851178049960872,-1.1474194479956665,backward,-1.1474194479956665
OpenElectricity_NEM_5T,long,020,backward,12,1.4474943650414858,18.18366784545816,-0.15270244704353786,backward,-0.15270244704353786
OpenElectricity_NEM_5T,long,020,backward,13,1.2530291566507492,20.50764741525607,0.6399262832544963,backward,0.6399262832544963
OpenElectricity_NEM_5T,long,020,backward,14,1.8016148648930517,19.17055804156495,1.409781005517818,backward,1.409781005517818
OpenElectricity_NEM_5T,long,020,backward,15,1.8165205399155202,22.45052975756706,1.9104829800573242,backward,1.9104829800573242
OpenElectricity_NEM_5T,long,020,backward,16,1.8858458588546854,22.444751716447293,-0.47917035859209633,backward,-0.47917035859209633
OpenElectricity_NEM_5T,long,020,backward,17,1.7270024911186443,27.580940488382698,1.133890545990912,backward,1.133890545990912
OpenElectricity_NEM_5T,long,020,backward,18,2.095644635885477,19.16063975495431,-0.1747356967189333,backward,-0.1747356967189333
OpenElectricity_NEM_5T,long,020,backward,19,1.8408207013733684,18.230933719279573,-0.46059178312614435,backward,-0.46059178312614435
OpenElectricity_NEM_5T,long,030,backward,0,1.5076471287446451,16.70054764374499,-0.3611804498850155,backward,-0.3611804498850155
OpenElectricity_NEM_5T,long,030,backward,1,1.695898063500113,19.649461040104757,0.13146297688023623,backward,0.13146297688023623
OpenElectricity_NEM_5T,long,030,backward,2,2.059051905389414,23.958376644015235,1.804127652924766,backward,1.804127652924766
OpenElectricity_NEM_5T,long,030,backward,3,1.7606781765913895,26.98880000652647,1.0877621683363898,backward,1.0877621683363898
OpenElectricity_NEM_5T,long,030,backward,4,1.9498603518927657,21.06406003314914,-0.6485073255582421,backward,-0.6485073255582421
OpenElectricity_NEM_5T,long,030,backward,5,1.6401481609394044,17.330466085081085,-2.304674528332214,backward,-2.304674528332214
OpenElectricity_NEM_5T,long,030,backward,6,1.5922552830727303,19.641720514139553,-0.2894451131604754,backward,-0.2894451131604754
OpenElectricity_NEM_5T,long,030,backward,7,1.9132313847387619,22.340689589319354,3.3192161284772936,backward,3.3192161284772936
OpenElectricity_NEM_5T,long,030,backward,8,1.341856615237028,19.689757531604858,0.5388404789502772,backward,0.5388404789502772
OpenElectricity_NEM_5T,long,030,backward,9,1.8420016003876007,22.488864836762797,0.43493403787116947,backward,0.43493403787116947
OpenElectricity_NEM_5T,long,030,backward,10,1.1126529124541398,20.8878057283047,-0.23864692503714124,backward,-0.23864692503714124
OpenElectricity_NEM_5T,long,030,backward,11,2.2981636163926598,18.682881234815632,-3.3157162631409065,backward,-3.3157162631409065
OpenElectricity_NEM_5T,long,030,backward,12,1.2802068830552122,16.536226514219734,-1.8001437782819636,backward,-1.8001437782819636
OpenElectricity_NEM_5T,long,030,backward,13,1.9095484434123144,18.74723727967841,-1.120483852323165,backward,-1.120483852323165
OpenElectricity_NEM_5T,long,030,backward,14,1.3437535458698788,17.93179956818343,0.17102253213629837,backward,0.17102253213629837
OpenElectricity_NEM_5T,long,030,backward,15,1.4220136989120093,18.988478315267425,-1.5515684622423116,backward,-1.5515684622423116
OpenElectricity_NEM_5T,long,030,backward,16,1.396290122563641,22.138952701998956,-0.7849693730404326,backward,-0.7849693730404326
OpenElectricity_NEM_5T,long,030,backward,17,1.6195208672502779,28.926409304341465,2.4793593619496797,backward,2.4793593619496797
OpenElectricity_NEM_5T,long,030,backward,18,2.5564417619608593,18.77020009747748,-0.5651753541957625,backward,-0.5651753541957625
OpenElectricity_NEM_5T,long,030,backward,19,1.9596412944478194,19.0445671315408,0.3530416291350811,backward,0.3530416291350811
OpenElectricity_NEM_5T,long,,clean,0,1.522204922695773,17.061728093630006,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,1,1.3459536239847014,19.51799806322452,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,2,1.5755557357627616,22.15424899109047,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,3,1.5510692104787134,25.90103783819008,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,4,1.2946242563164951,21.712567358707382,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,5,1.8084628930560152,19.6351406134133,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,6,1.2113296988601132,19.93116562730003,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,7,1.2937708607039224,19.02147346084206,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,8,1.6289221018787323,19.15091705265458,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,9,2.0059703541688476,22.053930798891628,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,10,1.2114201960829825,21.12645265334184,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,11,1.5514790507192342,21.99859749795654,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,12,1.832346897355228,18.336370292501698,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,13,1.4403106809411568,19.867721132001574,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,14,1.8238590382735735,17.76077703604713,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,15,1.2023773788011303,20.540046777509737,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,16,1.3928992008821657,22.92392207503939,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,17,1.8343078489382425,26.447049942391786,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,18,2.9531937075090835,19.335375451673244,0.0,clean,0.0
OpenElectricity_NEM_5T,long,,clean,19,2.376769947880423,18.691525502405717,0.0,clean,0.0
OpenElectricity_NEM_5T,long,010,forward,0,1.5931423896490056,17.808223071254652,0.7464949776246463,forward,0.7464949776246463
OpenElectricity_NEM_5T,long,010,forward,1,1.874412826898056,19.33782029789621,-0.18017776532830965,forward,-0.18017776532830965
OpenElectricity_NEM_5T,long,010,forward,2,1.624755275959908,21.290776284221387,-0.8634727068690822,forward,-0.8634727068690822
OpenElectricity_NEM_5T,long,010,forward,3,1.6161346169211694,25.816733024172034,-0.08430481401804713,forward,-0.08430481401804713
OpenElectricity_NEM_5T,long,010,forward,4,1.089462809292787,21.07917997854071,-0.6333873801666705,forward,-0.6333873801666705
OpenElectricity_NEM_5T,long,010,forward,5,1.3524098308515995,18.291084106274287,-1.3440565071390118,forward,-1.3440565071390118
OpenElectricity_NEM_5T,long,010,forward,6,1.1982342030036355,20.452006562750434,0.5208409354504049,forward,0.5208409354504049
OpenElectricity_NEM_5T,long,010,forward,7,1.6982544360736866,18.59406071473839,-0.42741274610366986,forward,-0.42741274610366986
OpenElectricity_NEM_5T,long,010,forward,8,2.2228352646525193,18.847003081607248,-0.30391397104733286,forward,-0.30391397104733286
OpenElectricity_NEM_5T,long,010,forward,9,2.047383622911754,22.764409684674106,0.7104788857824786,forward,0.7104788857824786
OpenElectricity_NEM_5T,long,010,forward,10,1.6301719284138656,21.10042072815107,-0.026031925190768135,forward,-0.026031925190768135
OpenElectricity_NEM_5T,long,010,forward,11,1.3576082131270129,20.74414945547082,-1.2544480424857198,forward,-1.2544480424857198
OpenElectricity_NEM_5T,long,010,forward,12,1.2765740457615156,18.461472947926065,0.12510265542436727,forward,0.12510265542436727
OpenElectricity_NEM_5T,long,010,forward,13,1.6589071093743903,19.862468889596535,-0.005252242405038743,forward,-0.005252242405038743
OpenElectricity_NEM_5T,long,010,forward,14,1.827498661483011,18.523327184449656,0.762550148402525,forward,0.762550148402525
OpenElectricity_NEM_5T,long,010,forward,15,1.628992288752142,21.137830738831802,0.5977839613220652,forward,0.5977839613220652
OpenElectricity_NEM_5T,long,010,forward,16,1.207878917513211,22.81790657276684,-0.10601550227254819,forward,-0.10601550227254819
OpenElectricity_NEM_5T,long,010,forward,17,2.1269268721855243,26.168795831616542,-0.27825411077524365,forward,-0.27825411077524365
OpenElectricity_NEM_5T,long,010,forward,18,2.7030681663952794,21.16402858257883,1.828653130905586,forward,1.828653130905586
OpenElectricity_NEM_5T,long,010,forward,19,1.7402737783229303,19.043177586613155,0.3516520842074371,forward,0.3516520842074371
