dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean,prediction_mode,y_value
Coastal_T_S_15T,long,030,backward,13,1.5991189102056667,0.27540494672539956,-0.07217208691278704,backward,-0.07217208691278704
Coastal_T_S_15T,long,030,backward,14,1.760801676316163,0.23690914177681438,-0.010072116668319114,backward,-0.010072116668319114
Coastal_T_S_15T,long,030,backward,15,1.8548382429447723,0.0926162237890719,0.0011456454359949214,backward,0.0011456454359949214
Coastal_T_S_15T,long,030,backward,16,1.5640647573037347,0.16554284297353894,-0.015408126111187748,backward,-0.015408126111187748
Coastal_T_S_15T,long,030,backward,17,2.0980747686151417,0.15421938668058907,4.47758960312461e-05,backward,4.47758960312461e-05
Coastal_T_S_15T,long,030,backward,18,1.763301602867758,0.22554869577420217,-0.001206171575022369,backward,-0.001206171575022369
Coastal_T_S_15T,long,030,backward,19,1.8785738050197205,0.27334269238022163,-0.053055250320274305,backward,-0.053055250320274305
Coastal_T_S_15T,long,,clean,0,1.4767625554842696,0.24199598640531383,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,1,1.5334782600524333,0.3152310337843556,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,2,1.5723176003511796,0.21691726835610753,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,3,1.4013435211918621,0.11571088301556785,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,4,1.8417344659815926,0.16541899830414303,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,5,1.5147884694190015,0.17455034087087176,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,6,1.5223093135134214,0.19753049371294182,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,7,1.8040773541842867,0.27522115326994345,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,8,2.007965811228058,0.195318836106357,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,9,2.015121357056821,0.24095732811413867,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,10,1.6115093738819204,0.1567625516319295,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,11,1.5445629157490923,0.15777545737008064,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,12,1.531284124726068,0.08192096571190224,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,13,2.025478775381246,0.3475770336381866,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,14,1.9207638547052421,0.2469812584451335,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,15,1.936517162236785,0.09147057835307698,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,16,1.7398166208200458,0.1809509690847267,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,17,1.821717082197866,0.15417461078455783,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,18,1.4704560334344206,0.22675486734922454,0.0,clean,0.0
Coastal_T_S_15T,long,,clean,19,2.2077048943005275,0.32639794270049594,0.0,clean,0.0
Coastal_T_S_15T,long,010,forward,0,1.622476002873691,0.24134684050618732,-0.0006491458991265131,forward,-0.0006491458991265131
Coastal_T_S_15T,long,010,forward,1,1.6551237929248372,0.318606041503423,0.003375007719067402,forward,0.003375007719067402
Coastal_T_S_15T,long,010,forward,2,1.5483428094731644,0.20682362821972466,-0.010093640136382864,forward,-0.010093640136382864
Coastal_T_S_15T,long,010,forward,3,1.3609384272563685,0.18471910170130854,0.06900821868574068,forward,0.06900821868574068
Coastal_T_S_15T,long,010,forward,4,1.445980238037751,0.1696538781793864,0.004234879875243375,forward,0.004234879875243375
Coastal_T_S_15T,long,010,forward,5,1.4278628522260242,0.15430007116942743,-0.020250269701444334,forward,-0.020250269701444334
Coastal_T_S_15T,long,010,forward,6,1.4397988374650923,0.21058593298431422,0.013055439271372399,forward,0.013055439271372399
Coastal_T_S_15T,long,010,forward,7,1.6330443948913989,0.26135657245375776,-0.01386458081618569,forward,-0.01386458081618569
Coastal_T_S_15T,long,010,forward,8,2.0436657967662155,0.19647822658138123,0.0011593904750242245,forward,0.0011593904750242245
Coastal_T_S_15T,long,010,forward,9,1.662482382857921,0.25062930248289356,0.009671974368754888,forward,0.009671974368754888
Coastal_T_S_15T,long,010,forward,10,1.6661818147429175,0.15698618614668255,0.00022363451475304608,forward,0.00022363451475304608
Coastal_T_S_15T,long,010,forward,11,1.6557357338605796,0.14746799761486787,-0.010307459755212772,forward,-0.010307459755212772
Coastal_T_S_15T,long,010,forward,12,1.8044839801670254,0.08278535906338125,0.0008643933514790036,forward,0.0008643933514790036
Coastal_T_S_15T,long,010,forward,13,1.799156322208864,0.33006361113213445,-0.017513422506052145,forward,-0.017513422506052145
Coastal_T_S_15T,long,010,forward,14,1.9162299580756443,0.2518872516632052,0.004905993218071697,forward,0.004905993218071697
Coastal_T_S_15T,long,010,forward,15,2.0588132837711743,0.09598278826975339,0.004512209916676405,forward,0.004512209916676405
Coastal_T_S_15T,long,010,forward,16,1.6673303023439734,0.17478772249480645,-0.006163246589920235,forward,-0.006163246589920235
Coastal_T_S_15T,long,010,forward,17,1.568731871871156,0.15411633585234003,-5.82749322178e-05,forward,-5.82749322178e-05
Coastal_T_S_15T,long,010,forward,18,1.3001809070634982,0.22524489536218778,-0.0015099719870367567,forward,-0.0015099719870367567
Coastal_T_S_15T,long,010,forward,19,2.1094873443550872,0.32651263932767866,0.00011469662718271989,forward,0.00011469662718271989
Coastal_T_S_15T,long,020,forward,0,1.717364213677731,0.26335521539895884,0.021359228993645007,forward,0.021359228993645007
Coastal_T_S_15T,long,020,forward,1,1.5887836918458025,0.2523688249940616,-0.06286220879029397,forward,-0.06286220879029397
Coastal_T_S_15T,long,020,forward,2,1.3758766982041386,0.17595594711203458,-0.04096132124407295,forward,-0.04096132124407295
Coastal_T_S_15T,long,020,forward,3,1.3678843056589676,0.11411753573757971,-0.0015933472779881414,forward,-0.0015933472779881414
Coastal_T_S_15T,long,020,forward,4,1.2850028042693666,0.20362669040273124,0.03820769209858821,forward,0.03820769209858821
Coastal_T_S_15T,long,020,forward,5,1.732937920557718,0.10355225485146641,-0.07099808601940535,forward,-0.07099808601940535
Coastal_T_S_15T,long,020,forward,6,1.8825123436235083,0.14745366326738935,-0.05007683044555247,forward,-0.05007683044555247
Coastal_T_S_15T,long,020,forward,7,1.6823218694020192,0.2859552611299532,0.010734107860009723,forward,0.010734107860009723
Coastal_T_S_15T,long,020,forward,8,2.0754336711337893,0.19629133539128757,0.0009724992849305669,forward,0.0009724992849305669
Coastal_T_S_15T,long,020,forward,9,1.6853874413934387,0.21408499235829928,-0.02687233575583939,forward,-0.02687233575583939
Coastal_T_S_15T,long,020,forward,10,1.619398660039736,0.15699520102757272,0.00023264939564321407,forward,0.00023264939564321407
Coastal_T_S_15T,long,020,forward,11,1.8282988313755233,0.13675420574194558,-0.021021251628135063,forward,-0.021021251628135063
Coastal_T_S_15T,long,020,forward,12,1.6140398835158303,0.08060504803473877,-0.0013159176771634779,forward,-0.0013159176771634779
Coastal_T_S_15T,long,020,forward,13,1.6588390863830014,0.2770647051944284,-0.07051232844375821,forward,-0.07051232844375821
Coastal_T_S_15T,long,020,forward,14,1.6548377716336775,0.2413260426907428,-0.005655215754390708,forward,-0.005655215754390708
Coastal_T_S_15T,long,020,forward,15,1.8858329623195629,0.08410312716750551,-0.007367451185571472,forward,-0.007367451185571472
Coastal_T_S_15T,long,020,forward,16,1.86430891789897,0.1746372044730392,-0.006313764611687478,forward,-0.006313764611687478
Coastal_T_S_15T,long,020,forward,17,1.674203889502972,0.15377102761966077,-0.00040358316489705337,forward,-0.00040358316489705337
Coastal_T_S_15T,long,020,forward,18,1.3628785630052498,0.22818166799690207,0.0014268006476775286,forward,0.0014268006476775286
Coastal_T_S_15T,long,020,forward,19,2.1766287740845023,0.2908785032155635,-0.035519439484932414,forward,-0.035519439484932414
Coastal_T_S_15T,long,030,forward,0,1.581595597246994,0.25592613171388096,0.013930145308567121,forward,0.013930145308567121
Coastal_T_S_15T,long,030,forward,1,1.4771582896178037,0.17338007806814185,-0.14185095571621373,forward,-0.14185095571621373
Coastal_T_S_15T,long,030,forward,2,1.0581184210535692,0.21986797453367196,0.0029507061775644328,forward,0.0029507061775644328
Coastal_T_S_15T,long,030,forward,3,1.7811444695637058,0.10369833358100435,-0.012012549434563508,forward,-0.012012549434563508
Coastal_T_S_15T,long,030,forward,4,1.5317753158839937,0.2018207528470608,0.036401754542917775,forward,0.036401754542917775
Coastal_T_S_15T,long,030,forward,5,1.5795056040252136,0.17103257828207405,-0.0035177625887977126,forward,-0.0035177625887977126
Coastal_T_S_15T,long,030,forward,6,1.4028407457735956,0.13986140332813485,-0.05766909038480697,forward,-0.05766909038480697
Coastal_T_S_15T,long,030,forward,7,1.573501471556126,0.2601423644498138,-0.01507878882012964,forward,-0.01507878882012964
Coastal_T_S_15T,long,030,forward,8,1.7678432635585117,0.19203478076989136,-0.003284055336465641,forward,-0.003284055336465641
Coastal_T_S_15T,long,030,forward,9,1.7527807949361145,0.21283798661478354,-0.028119341499355133,forward,-0.028119341499355133
Coastal_T_S_15T,long,030,forward,10,1.46861635237106,0.1573195996100128,0.000557047978083286,forward,0.000557047978083286
