model,median_pct,p90_pct,better_than_clean
VisionTS++,-3.165873466743574,8.557874510355237,0.6579861111111112
Kairos-50M,3.735092529181437,65.6392418666058,0.3993055555555556
Kairos-23M,4.889704403733159,51.61041682830241,0.2760416666666667
TimesFM-2.5,5.9869559871062545,85.46466172916706,0.2986111111111111
Sundial,6.6523302075587445,63.340271957880894,0.2951388888888889
Chronos-2,7.984780157156286,72.70576955298694,0.2326388888888889
TimesFM-2.0,13.97256690760642,122.74843649317407,0.2048611111111111
