model,saits,gp_rbf,kalman_arima,linear,kalman_struct,backward,forward,mean
VisionTS++,-3.388456741640426,-3.3077439122748853,-11.666990341612046,-0.21460427396010126,1.119652289727433,0.18508599423636443,-1.5996281938477463,-15.130571350451444
Kairos-50M,3.0708906468369954,0.9081533913451946,4.496026884650931,2.199741252444093,2.005333648315692,5.092875273683004,5.7279259185324065,8.130406512121601
Kairos-23M,3.3623668649756735,3.8185352823034813,5.662331430771822,4.053539766169351,5.193137888952261,5.7957554575150185,5.113374889882592,7.463691328876619
TimesFM-2.5,3.122605575861136,3.724344741608532,6.3062337747259525,5.896661855011652,4.8724297397766625,6.96217825708233,11.05703714076674,10.950377434765551
Sundial,3.063481488691434,6.78842374972688,7.9432207265607,6.148139510835335,6.40832285200858,7.430170166147756,6.052485137611284,9.907492885876705
Chronos-2,2.455210662230616,4.453809570909557,10.432162410335655,9.263024294261973,10.402019101174737,5.2080943434593925,8.466820648558251,12.831928765808739
TimesFM-2.0,11.179157559470527,9.24917546022179,13.947757734524444,12.697140079327976,11.263496887911973,17.212280570432974,19.83056604283372,20.360948790567612
