model,dataset,method,missing_ratio,mse_change_pct,class
Chronos-2,Supply_Chain_Location_D,kalman_arima,0.3,70.10431085183669,strictly increasing
Chronos-2,Supply_Chain_Location_D,kalman_struct,0.1,101.09715249419993,non-monotonic
Chronos-2,Supply_Chain_Location_D,kalman_struct,0.2,49.030623736630226,non-monotonic
Chronos-2,Supply_Chain_Location_D,kalman_struct,0.3,89.87230842473896,non-monotonic
Chronos-2,Supply_Chain_Location_D,linear,0.1,86.83198394921115,strictly decreasing
Chronos-2,Supply_Chain_Location_D,linear,0.2,43.084615347265256,strictly decreasing
Chronos-2,Supply_Chain_Location_D,linear,0.3,31.93841635958131,strictly decreasing
Chronos-2,Supply_Chain_Location_D,mean,0.1,38.502066686645385,strictly increasing
Chronos-2,Supply_Chain_Location_D,mean,0.2,42.161831389091546,strictly increasing
Chronos-2,Supply_Chain_Location_D,mean,0.3,63.24398125258891,strictly increasing
Chronos-2,Supply_Chain_Location_D,saits,0.1,80.00193234738045,non-monotonic
Chronos-2,Supply_Chain_Location_D,saits,0.2,64.89826680661331,non-monotonic
