model,dataset,method,missing_ratio,mse_change_pct,class
Chronos-2,Coastal_T_S_15T,gp_rbf,0.3,-5.011125274612096,non-monotonic
Chronos-2,Coastal_T_S_15T,kalman_arima,0.1,-2.311511764669929,non-monotonic
Chronos-2,Coastal_T_S_15T,kalman_arima,0.2,-1.4228050808539083,non-monotonic
Chronos-2,Coastal_T_S_15T,kalman_arima,0.3,-6.134119441600327,non-monotonic
Chronos-2,Coastal_T_S_15T,kalman_struct,0.1,-1.43740289351619,strictly increasing
Chronos-2,Coastal_T_S_15T,kalman_struct,0.2,2.5312755357517567,strictly increasing
Chronos-2,Coastal_T_S_15T,kalman_struct,0.3,4.397702215366273,strictly increasing
Chronos-2,Coastal_T_S_15T,linear,0.1,-2.323441956744172,non-monotonic
Chronos-2,Coastal_T_S_15T,linear,0.2,0.48758176303414824,non-monotonic
Chronos-2,Coastal_T_S_15T,linear,0.3,-3.00459293869716,non-monotonic
Chronos-2,Coastal_T_S_15T,mean,0.1,-2.0061247827695476,strictly decreasing
Chronos-2,Coastal_T_S_15T,mean,0.2,-3.098163435850862,strictly decreasing
Chronos-2,Coastal_T_S_15T,mean,0.3,-4.269767577998723,strictly decreasing
Chronos-2,Coastal_T_S_15T,saits,0.1,-1.6413832427855306,non-monotonic
Chronos-2,Coastal_T_S_15T,saits,0.2,-3.6461556901180803,non-monotonic
Chronos-2,Coastal_T_S_15T,saits,0.3,1.1551352900453857,non-monotonic
Chronos-2,Coastal_T_S_20T,backward,0.1,-23.214266949452185,strictly increasing
Chronos-2,Coastal_T_S_20T,backward,0.2,21.392128475211837,strictly increasing
Chronos-2,Coastal_T_S_20T,backward,0.3,36.389292865299616,strictly increasing
Chronos-2,Coastal_T_S_20T,forward,0.1,29.676616752465605,strictly decreasing
Chronos-2,Coastal_T_S_20T,forward,0.2,8.067116171175673,strictly decreasing
Chronos-2,Coastal_T_S_20T,forward,0.3,7.873229266260652,strictly decreasing
Chronos-2,Coastal_T_S_20T,gp_rbf,0.1,30.15386629710725,strictly decreasing
Chronos-2,Coastal_T_S_20T,gp_rbf,0.2,1.8703897565563385,strictly decreasing
Chronos-2,Coastal_T_S_20T,gp_rbf,0.3,-5.809900657695133,strictly decreasing
Chronos-2,Coastal_T_S_20T,kalman_arima,0.1,-2.495898158331826,strictly increasing
Chronos-2,Coastal_T_S_20T,kalman_arima,0.2,60.36190368408748,strictly increasing
Chronos-2,Coastal_T_S_20T,kalman_arima,0.3,347.07957057026306,strictly increasing
Chronos-2,Coastal_T_S_20T,kalman_struct,0.1,4.983176911647828,non-monotonic
Chronos-2,Coastal_T_S_20T,kalman_struct,0.2,2.456435816328399,non-monotonic
Chronos-2,Coastal_T_S_20T,kalman_struct,0.3,15.610628101475355,non-monotonic
Chronos-2,Coastal_T_S_20T,linear,0.1,15.544067967651397,non-monotonic
Chronos-2,Coastal_T_S_20T,linear,0.2,15.416485212670356,non-monotonic
Chronos-2,Coastal_T_S_20T,linear,0.3,16.854933132301294,non-monotonic
Chronos-2,Coastal_T_S_20T,mean,0.1,46.70837231764662,strictly increasing
Chronos-2,Coastal_T_S_20T,mean,0.2,122.49297302609861,strictly increasing
Chronos-2,Coastal_T_S_20T,mean,0.3,270.22026352335996,strictly increasing
Chronos-2,Coastal_T_S_20T,saits,0.1,-5.136682237851312,non-monotonic
Chronos-2,Coastal_T_S_20T,saits,0.2,-8.939106801992397,non-monotonic
Chronos-2,Coastal_T_S_20T,saits,0.3,9.60515959399668,non-monotonic
Chronos-2,Coastal_T_S_5T,backward,0.1,5.66720083266777,non-monotonic
Chronos-2,Coastal_T_S_5T,backward,0.2,9.45277502084481,non-monotonic
Chronos-2,Coastal_T_S_5T,backward,0.3,-1.3387568582453564,non-monotonic
Chronos-2,Coastal_T_S_5T,forward,0.1,10.568548220130129,non-monotonic
Chronos-2,Coastal_T_S_5T,forward,0.2,13.144011413568471,non-monotonic
Chronos-2,Coastal_T_S_5T,forward,0.3,13.094306055250765,non-monotonic
