model,metric,n_samples,bias_mean,bias_std,abs_bias_mean,abs_bias_std,rank_by_abs_bias
kairos23m,residual_autocorr_lag1,358,0.1597653647385341,0.2791474378704296,0.2178117108999327,0.23652680685854455,1.0
kairos23m,seasonal_correlation,358,0.06762442827861975,0.23921811062843895,0.15474083548716294,0.1944206244831353,1.0
kairos23m,seasonal_strength,358,0.06935432251835512,0.28867562105898875,0.20460297636654934,0.21488943714384032,1.0
kairos23m,spectral_entropy,358,-1121.2185920942698,950.7301767368688,1158.426073010004,904.8925035667628,1.0
kairos23m,trend_linearity,358,-3.4328857520482674,102.33478268363478,18.22740087260069,100.75245247757036,1.0
kairos23m,trend_strength,358,0.07087741088203159,0.34664849956274074,0.25479704690353006,0.24515193901230184,1.0
