基础模型,数据集,缺失率,填补方法,填补误差指标(MSE),填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,前项,0.589057,2.645469,7.418216146,0.341248169,0.527722113,0.000502869,0.91450821,0.261528789,0.128808151,7239.035557
,,,后向,0.407196,2.214964,7.293016493,0.340708516,0.519263594,0.000496639,0.915731293,0.259631374,0.136824783,7234.179949
,,,线性,0.213627,1.56182,6.955088976,0.331818068,0.526573827,0.000501021,0.914639512,0.266971121,0.13542147,6828.815877
,,0.3,均值,6.513011,11.868076,11.6621148,0.398395691,0.471896076,0.000754083,0.919140119,0.092176805,0.12109031,7638.722343
,,,前项,0.937168,4.235172,7.820983073,0.349689128,0.533475277,0.000504261,0.915423338,0.264054417,0.163498613,7158.256624
,,,后向,0.829049,3.87097,7.570405816,0.343283081,0.566687198,0.00049483,0.919155722,0.238875437,0.148694974,7148.899721
,,,线性,0.355185,2.607899,7.269636502,0.33621504,0.526784727,0.000511219,0.914964292,0.266342728,0.164133474,5753.759729
,ETTm2,0,/,/,/,35.07382378,0.230325945,0.609687971,0.001832343,0.939487387,0.415224918,0.138814698,6836.595343
,,0.1,均值,17.879083,3.987867,44.41628906,0.246871541,0.604886647,0.001212012,0.91645844,0.397478403,0.175620743,7463.496234
,,,前项,5.396396,1.70773,37.47155816,0.233448961,0.626884133,0.001790804,0.943470874,0.36809612,0.126954636,7358.120407
,,,后向,4.988939,1.602229,36.46947917,0.230036384,0.640150691,0.001860975,0.941281142,0.378240009,0.128203503,7430.78492
,,,线性,1.742023,0.914888,36.57083767,0.230099335,0.616629662,0.001841563,0.938396638,0.402462998,0.130091064,6798.095132
,,0.2,均值,25.92446,6.593445,56.05346788,0.266730042,0.553324216,0.001070545,0.907662236,0.320948346,0.197384919,8481.208622
,,,前项,6.879122,2.601242,38.41953559,0.235313076,0.620334989,0.00182227,0.936017236,0.357986383,0.148547629,7629.265415
,,,后向,7.680029,2.705347,38.56213542,0.237417976,0.604213867,0.001825352,0.934664098,0.357877719,0.13609918,7631.00179
,,,线性,2.735681,1.557395,37.01174479,0.231824036,0.625171897,0.001846666,0.9379278,0.381063229,0.131432489,6704.260312
,,0.3,均值,34.587103,8.867122,60.29939236,0.269882999,0.495261479,0.001095142,0.918864156,0.240070909,0.134861108,8772.044844
,,,前项,11.184152,4.135596,40.02394965,0.240921343,0.558526412,0.001776199,0.91883689,0.370593,0.185422917,7956.789547
,,,后向,11.285423,4.205041,39.87665365,0.235751241,0.562112967,0.001793235,0.915825337,0.352317292,0.194592827,7984.46364
,,,线性,4.313924,2.485482,38.83895833,0.237099304,0.59205955,0.001809302,0.923045498,0.389139371,0.16527825,6505.808447
3,CPHL,0,/,/,/,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,EWELD Load,0,/,/,/,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
2,Port Activity,0,/,/,,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
2,ECDC COVID,0,/,/,,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,US Term Structure,0,/,/,,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,Commodity Production,0,/,/,,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,Supply Chain-Customer,0,/,/,,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,MetroPT-3,0,/,/,,,,,,,,,
,,0.1,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.2,均值,,,,,,,,,,
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
,,0.3,均值,,,,,,,,,,
