基础模型,数据集,缺失率,填补方法,填补误差指标(MSE),填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,后向,,18.51098904,0.017816897,0.880508532,-0.00178757,0.507527988,0.660967178,0.920297866,12449.01804,
,,,线性,,18.64566379,0.01832819,0.902083274,-0.001797356,0.616372746,0.729516635,0.925288925,11642.00234,
,,0.3,均值,,30.0840332,0.026520745,0.376383384,-0.00122436,0.0971809,0.54787978,0.952482868,15602.49947,
,,,前项,,16.34748535,0.017765717,0.834685029,-0.001805655,0.379712868,0.6880061,0.947529328,12751.77271,
,,,后向,,14.45199517,0.015881827,0.845027373,-0.001772988,0.417376152,0.696617545,0.942090004,12709.31845,
,,,线性,,15.39443902,0.017029681,0.88865486,-0.001788085,0.551587676,0.7398709,0.934182132,11541.62805,
timesfm2p5,weather,0,/,,276.2499653,0.026342252,0.540972202,0.00129055,0.475721213,0.815425551,0.920130376,19706.68414,
,,0.1,均值,,262.1168924,0.02578832,0.427067325,0.001517106,0.410427052,0.687560016,0.923310463,20241.93416,
,,,前项,,277.1359028,0.02671995,0.533452272,0.001407169,0.418251723,0.799544006,0.931665195,19749.22881,
,,,后向,,280.4023785,0.02714298,0.523755906,0.001279349,0.444052634,0.773497555,0.923962981,19731.76452,
,,,线性,,277.7545313,0.026992086,0.534548973,0.001288778,0.441666664,0.808390245,0.927691332,19397.47045,
,,0.2,均值,,251.5133681,0.024312409,0.37007421,0.001225522,0.328478375,0.650298099,0.93697135,20347.71712,
,,,前项,,241.1713715,0.024749597,0.51599191,0.001518691,0.372874241,0.759597046,0.928735175,19852.11161,
,,,后向,,240.4914583,0.024822693,0.527482157,0.001099997,0.38044713,0.703429151,0.931751809,19807.53325,
,,,线性,,221.656684,0.02443395,0.537778194,0.001181684,0.421300834,0.762873279,0.932440704,19260.3979,
,,0.3,均值,,363.7262847,0.03095331,0.314409489,0.000905551,0.338458876,0.518285959,0.920313652,20800.48249,
,,,前项,,283.5582813,0.027069461,0.53711708,0.001294845,0.343177113,0.728790048,0.939784541,20030.93367,
,,,后向,,271.8143403,0.026186087,0.539847153,0.001406082,0.396063739,0.764221375,0.924957714,20044.68041,
,,,线性,,286.1519965,0.027417304,0.587738018,0.001145135,0.438617931,0.764755259,0.923368741,19132.64084,


kairos23m,Australia_Solar_H,0,/,,72387852297.10222,0.929415962653449,0.3064121359460784,31.387582697883108,0.8524953077855107,0.9507191502748891,0.9207394256960502,30249.833440489438,
,,0.1,均值,,74981032008.81778,0.9316450332820824,0.24097467883817147,26.043992600298356,0.7910132937135093,0.9191099515403778,0.8896389164509436,30720.375745586098,
,,0.1,前项,,73240414490.16888,0.9377290818725197,0.3262110290516982,33.115491011226716,0.7507863514260733,0.9142742332541938,0.9072644446635347,30647.524493993766,
,,0.1,后向,,74769806859.37778,0.9385603745189719,0.3537696519471948,29.559484477232797,0.7522786606798666,0.9103469842082481,0.9018185729293824,30676.61548575038,
,,0.1,线性,,74434626045.72444,0.9379000248136994,0.3247898054481032,30.827747045098818,0.7593176162376417,0.9093265552090394,0.9127783345155797,30610.365946366248,
,,0.2,均值,,78443411319.46666,0.9502632950805886,0.12936224677737423,25.34076019041384,0.6948615480864154,0.8593171436698398,0.8840991084364884,30910.616987618105,
,,0.2,前项,,76007946758.82666,0.9595338000109451,0.2897655553021499,29.59944603938893,0.6308951049523175,0.8840722877254563,0.9130379988038613,30843.940137056627,
,,0.2,后向,,80308152274.48889,0.9732533657427677,0.31103864039939794,23.78815731044195,0.6268012112900461,0.8849224491548014,0.910463138260926,30817.243811726752,
,,0.2,线性,,76048752676.40889,0.962901487774777,0.2813028816316868,28.84638248309481,0.6327684079539433,0.8894469911691578,0.9184455471122005,30765.43680124933,
,,0.3,均值,,81042966373.26222,0.9706286196761893,0.11500188115978267,21.918456344406046,0.6247311914556741,0.8290270570296702,0.8831724822358751,31070.52195713923,
,,0.3,前项,,87750310916.55112,0.994525836884381,0.3534284376190441,36.266157231226316,0.5331099342152374,0.7877456345890768,0.9043820416634383,31000.675847920258,
,,0.3,后向,,85789697492.76445,0.990762231226981,0.31984855456596883,17.118690964931805,0.5133101054405729,0.7756691544362816,0.9045362083971705,30990.395273215014,
,,0.3,线性,,80003850858.95111,0.9827370554993425,0.3067310979905301,28.551180574558014,0.5259379788795139,0.7526602339194525,0.9119809159929627,30898.33704133936,
kairos23m,Coastal_T_S_15T,0,/,,0.005785831875271268,0.0016874312657021659,0.3002447141025618,-4.857390876729117e-07,0.13635442870242337,0.20538305191010306,0.10586671659214315,1187.700505743716,
,,0.1,均值,,0.005260259840223524,0.0016352264622737573,0.29571107507573585,7.334363521153548e-07,0.1661430234738121,0.19431962224406743,0.12611378099085974,1081.8064901188252,
,,0.1,前项,,0.005831020673116048,0.0016751230642075344,0.33276225388335934,-1.1674524119579846e-07,0.13349687009632888,0.21133046585875254,0.1733687410605405,1098.4441476396046,
,,0.1,后向,,0.005377449459499783,0.0016534211480678765,0.3113307815422454,-2.4625950145511506e-07,0.13504862911682572,0.1969785486679315,0.16003524492740928,1092.7188654913055,
,,0.1,线性,,0.005522086885240343,0.0016606179449264388,0.31841371563265447,-4.4309337161823445e-07,0.14894930407154505,0.20520086781574834,0.14240582013709185,1086.5519283439303,
,,0.2,均值,,0.005495273802015517,0.001700344465854991,0.30689313685337327,1.0112831858475656e-06,0.14843439957784255,0.19992129946446272,0.15620948750386623,964.6908246912046,
,,0.2,前项,,0.005954531563652886,0.0017407893744309736,0.33521462631040666,1.8867698663509199e-06,0.1339616095366952,0.2196552045961314,0.2368170680161903,998.1472886324764,
,,0.2,后向,,0.006059886614481608,0.001752559435233733,0.3241238524989115,7.00836087008963e-07,0.10845475440798291,0.20476564151338553,0.2611122422953206,995.8327896633475,
,,0.2,线性,,0.006103605694240994,0.0017438275631133052,0.32434712795876053,1.1283709056105264e-06,0.1303256389680915,0.20942324904341456,0.22341978877637797,989.7416078824092,
,,0.3,均值,,0.005289502673678928,0.0016568422025203039,0.21348865243696852,1.072081413413881e-06,0.1345485667873759,0.19707083148311577,0.2101551691834945,877.4829983637577,
,,0.3,前项,,0.005744980176289876,0.001717199885692024,0.3792173183090018,7.919316009823564e-07,0.10940437144586439,0.21912033074534584,0.2408291849591877,899.2997308774427,
,,0.3,后向,,0.006234583324856228,0.0017789736688144531,0.3703892732057461,1.5930262268467326e-06,0.1011325005583494,0.19892941181981455,0.28504271283459015,899.1107921818559,
,,0.3,线性,,0.005511335796780056,0.0016850631558358708,0.366186068077782,8.002425107652531e-07,0.10842561239148636,0.2190109775051093,0.2332267981953413,890.9402049657176,
kairos23m,Coastal_T_S_20T,0,/,,0.27244998992435515,0.02487631516697292,0.9908303456305259,0.0008717228642587194,0.6172801539391672,0.5822991767048257,0.9059082910082336,930.118243899109,
,,0.1,均值,,0.3075579930865575,0.02450871298225361,0.7187139154138398,0.0008785141638109459,0.03379101931944738,0.5162425894634205,0.956326721919902,2383.004008346336,
,,0.1,前项,,0.29108460441468254,0.02568860563052575,0.9880057065592561,0.0008711213174529229,0.5235966069604288,0.5108515324161506,0.9155039207535146,939.8689444917705,
,,0.1,后向,,0.2583736359126984,0.02355335461736241,0.9773490223495465,0.0008748416337145892,0.38782037405016684,0.5349945952062188,0.9321278040051598,956.9541845907339,
,,0.1,线性,,0.2774879092261905,0.02486405348055853,0.9874760615671688,0.00087231425687997,0.5083059860758289,0.564380800966956,0.9308342893795191,897.4393066342901,
,,0.2,均值,,0.4517227415054563,0.030844192897210167,0.5095347158344884,0.000869217669377916,0.00456649230462512,0.374613357180797,0.9551652977994596,2646.1321635361733,
,,0.2,前项,,0.265625484406002,0.024302388016292344,0.9816565616632538,0.0008731805531090734,0.3772664226949004,0.435333843817007,0.9402101044118286,933.0720325019569,
,,0.2,后向,,0.27748185415116566,0.024939998572180436,0.9877530188861693,0.000873848187121824,0.48263726969931836,0.42426084301487793,0.9023682058331638,958.8358060012023,
,,0.2,线性,,0.27318076481894843,0.024871813093529007,0.9893530178783632,0.000874082959653524,0.5227492014134848,0.474365435240622,0.9271973445466386,922.4696670879035,
,,0.3,均值,,0.8720960828993055,0.03805646810791609,0.5347340661166038,0.0007359501321275751,0.09866178714034031,0.23770358183319865,0.9456843562705373,3117.750413684578,
,,0.3,前项,,0.2572691902281746,0.023985554841328704,0.9814463233319687,0.0008781180002791921,0.31358120438576226,0.3927029206881373,0.943485674524032,993.7526072915235,
,,0.3,后向,,0.29842543829055057,0.025328047624489602,0.9857650466525109,0.00087624136449768,0.34944478861770933,0.43521771689129574,0.9311711979247084,944.3056845107034,
,,0.3,线性,,0.2864481123666915,0.024917894954039697,0.9881956225487581,0.0008755079537115835,0.4405665562387515,0.40261106680289827,0.9431416654875612,909.5720660752366,
kairos23m,Coastal_T_S_5T,0,/,,598.4291666666667,0.23407545294061788,0.4347167920876118,0.0019650584589921893,0.5249895408337271,0.4893641805733123,0.5209229286067244,5978.678121304758,
,,0.1,均值,,636.2406944444444,0.27988727249733186,0.019616107339603027,0.0018699984778343466,0.08370361453813735,0.4939847148271955,0.8008283117869761,10007.616196921965,
,,0.1,前项,,620.5654166666667,0.23449719859482474,0.4186183025495486,0.001772878557965756,0.4881439130104016,0.4825053051293146,0.5864676279960338,5919.656485242978,
,,0.1,后向,,598.0721527777778,0.23347017886938987,0.42868877651682447,0.0020177712097463286,0.5091415078459952,0.5045955539354965,0.5854948755855041,5915.9913227122415,
,,0.1,线性,,595.0909722222223,0.23339209957659313,0.4259064481938169,0.0018882826430273562,0.5099907803866586,0.4926064692832542,0.5522932037050232,5882.428531382832,
,,0.2,均值,,633.6047222222222,0.4443028949040672,0.0672714990775201,0.0033746450144951437,0.09260519193598407,0.5518979747085984,0.786617762833129,10511.416505696963,
,,0.2,前项,,699.8527777777778,0.22906744228587123,0.41658873430727017,0.0012651981622090207,0.4610897056483269,0.5236025433443163,0.6475868141715363,5882.463396062746,
,,0.2,后向,,658.9088888888889,0.22925268156312997,0.4439998589545734,0.0019030930100320954,0.5204213970427208,0.507214429788819,0.6224875782513576,5883.399635758235,
,,0.2,线性,,664.0461805555556,0.22967776560903316,0.44697797750900153,0.001725701447323163,0.5150536092438139,0.507839831737594,0.5867937666064678,5780.678899284118,
,,0.3,均值,,670.7981944444444,0.5330667525933951,0.07461106534834454,0.0017095923753157071,0.13232008875859208,0.6026563537765388,0.7920136672194017,10767.287079616672,
,,0.3,前项,,738.3231944444444,0.22636784596434456,0.41338382044259586,0.0007904906738293541,0.4481452405350754,0.5191571073615902,0.6977943956795858,5814.061825814193,
,,0.3,后向,,608.5781944444444,0.22960319777456856,0.4180167687972178,0.0009964120529750882,0.4348046515370628,0.5185604719741388,0.7005574981373279,5813.1279223521315,
,,0.3,线性,,578.1264930555556,0.23364716716732473,0.4479625141356591,0.0009946293150138144,0.5044823100533842,0.5126461039295985,0.6287249115221764,5664.59212903091,
kairos23m,Coastal_T_S_H,0,/,,759.0060763888889,0.34457964168949384,0.4589908440320388,-0.005802144290943193,0.1455368563078574,0.06235090929904833,0.1258188007202526,11684.576705031792,
,,0.1,均值,,917.2282986111111,0.46349759175403293,0.45403052578439895,-0.004619225786698213,0.14362686288434534,0.061237672644424576,0.19611358747948412,11793.819851266086,
,,0.1,前项,,769.7013888888889,0.3502097051521172,0.5009607717398071,-0.006346124327843841,0.12746775886766998,0.06061683448917911,0.18558172015636293,11646.61961378263,
,,0.1,后向,,755.4677951388888,0.34968279880032976,0.5171356070671662,-0.005349828040872891,0.12957256203992812,0.06347866133903872,0.150739385941849,11652.858735965197,
,,0.1,线性,,766.3674479166667,0.3508590721569887,0.48644968669675065,-0.005677405008777814,0.14634610640606685,0.0624764786611742,0.16926709563461756,11637.611777279722,
,,0.2,均值,,562.2547309027777,0.354676378668175,0.4436945068693098,-0.0036327295027850327,0.10029478328637816,0.06110302356761826,0.24373018644978442,11677.441839107049,
,,0.2,前项,,752.3111111111111,0.35428027268539014,0.6110970789826079,-0.005309866273229866,0.1510267290025069,0.0713955349582015,0.17843943115849084,11564.410248462238,
,,0.2,后向,,864.6659722222222,0.36550701035349487,0.5495951475938907,-0.006373771398329292,0.10288937623618524,0.06766936139862906,0.22173980296952323,11539.60244968631,
,,0.2,线性,,784.3114583333333,0.3573694565336949,0.5666848971970619,-0.005959544218428511,0.08712139335705632,0.06579340899281635,0.19448363819444853,11545.95743088398,
,,0.3,均值,,895.95546875,0.4435823183767383,0.4179872662645544,-0.0038352825795688163,0.07943273490665642,0.06890197237956547,0.24989365148550682,11721.973908760483,
,,0.3,前项,,773.65,0.36574307227294806,0.5599848083127418,-0.006347364992844724,0.0697143238610379,0.07777090439716097,0.22297746896179438,11475.670260506922,
,,0.3,后向,,778.7878472222222,0.35238392293392623,0.5504792659692535,-0.005965146509015994,0.0994591515283669,0.07278434989162115,0.16883410712036695,11446.84971190977,
,,0.3,线性,,823.9056423611111,0.3522874535273658,0.5354731235655135,-0.006219381987769975,0.0925023226542881,0.0814667328659111,0.13085035872573503,11379.993252447617,
kairos23m,ETTh1,0,/,,12.041434461805556,0.35610286285197623,0.8632493250433908,0.00022913330404039756,0.33646739978309625,0.5809147034547214,0.7831870720315834,6727.974658039706,
,,0.1,均值,,12.281325231481482,0.3372212986978248,0.8444202867971394,0.00021017796422504074,0.23862937712547302,0.5104001410741815,0.8039895086124411,6907.743605474579,
,,0.1,前项,,11.976452546296295,0.35509941994929056,0.8571933318530056,0.0002334017116656624,0.286625325863736,0.5096984759494098,0.7884525358222604,6674.272446372416,
,,0.1,后向,,11.407833478009259,0.3455902691208547,0.8602479227500165,0.00023295192025875333,0.29461718495531775,0.5101562874990342,0.7877937265436273,6670.622898575946,
,,0.1,线性,,12.194748263888888,0.35459054558896774,0.8624682695415602,0.0002339818206129234,0.2961220886953585,0.5223879718723701,0.7834688843635766,6638.650628040155,
,,0.2,均值,,12.013572048611111,0.34456978017199635,0.8010454350150835,4.8790462809150194e-05,0.17335148650257015,0.41676152526013027,0.8325784011585261,7080.982901748265,
,,0.2,前项,,12.188389756944444,0.35709478108583376,0.860961997498563,0.00020777550491805796,0.23802027304602338,0.4108551580918248,0.803954559859508,6648.570861092318,
,,0.2,后向,,12.756096643518518,0.3857524184183002,0.8584766446728852,0.0003092028940673538,0.24020066917060628,0.41086852025147536,0.8074125919950261,6644.231671384914,
,,0.2,线性,,13.084195601851851,0.3704868305868413,0.8724948032116859,0.0002621932388110546,0.261440582220316,0.42874092653789136,0.7945849058325789,6526.193862232484,
,,0.3,均值,,15.587722800925926,0.3689046359537809,0.7939928160582804,0.00022379778859608253,0.14574789491820866,0.3656363193006909,0.8251422369688449,7169.84585573341,
,,0.3,前项,,13.346254340277778,0.3583217937427665,0.8671599852648169,0.0003001704730760772,0.2281554512024963,0.37958987876468175,0.810719755731514,6538.925124501315,
,,0.3,后向,,13.511199363425925,0.35368496232982927,0.8660033287363729,0.0002370004525505778,0.22369465986908013,0.37730995463779826,0.8056361617624279,6522.422143151225,
,,0.3,线性,,12.801663773148148,0.3498591084894016,0.8768708512278072,0.0002614313931312217,0.24006810662211694,0.3693729956682231,0.8014821814275863,6365.1865766502315,
kairos23m,ETTh2,0,/,,41.813211805555554,0.23356555671414148,0.8645718366992071,0.0016258234863575376,0.6889987057614044,0.9007141841332749,0.8975748911098493,6938.158606290253,
,,0.1,均值,,45.44541666666667,0.2363120520418743,0.8216715213621292,0.0014718450508236448,0.57239415976197,0.8060241908717637,0.8950291128480008,7389.487482546874,
,,0.1,前项,,44.01220775462963,0.2417380821904802,0.8531441249667985,0.0015786850629409478,0.6314029723578111,0.8331564860985915,0.9004102884503395,7022.776253988392,
,,0.1,后向,,42.954600694444444,0.2382728762143748,0.8611705330888896,0.0016371176322839884,0.6396002911548668,0.8395881573241242,0.9009834661212809,6996.290335421623,
,,0.1,线性,,43.427002314814814,0.23934630607991503,0.854833839169704,0.0015997822570127907,0.6297333785418981,0.8316114901014887,0.9004976788761638,6906.071201813583,
,,0.2,均值,,46.08645833333333,0.23489894729817803,0.7992571149049167,0.0013142123491162274,0.4573002886951384,0.7570760719529745,0.888052492022225,7676.389390459824,
,,0.2,前项,,43.99827835648148,0.236230721609872,0.8521699971396931,0.0017038836447230104,0.5701738185583285,0.7692148302424314,0.8937654004511884,6996.00933194914,
,,0.2,后向,,46.38356481481482,0.2436270516120313,0.8508647042524148,0.0015502589473492016,0.5706578733756805,0.7901193550909206,0.8935315102657543,7000.048851778989,
,,0.2,线性,,43.129129050925926,0.23479347255441083,0.8521653939755833,0.0016198843137285688,0.5730064053944646,0.7813951754101378,0.9074671410868185,6775.3724433242605,
,,0.3,均值,,40.469765625,0.22747811175094768,0.7487375338033299,0.0009750744910318965,0.31663763144506973,0.5611264953177585,0.8750537409313967,7967.611074296731,
,,0.3,前项,,51.64889467592592,0.25103099954328534,0.8481250346578856,0.00167174485691121,0.4475050144321544,0.6291799766316714,0.8921444131098889,7238.050335627095,
,,0.3,后向,,47.34305844907407,0.24671649629481143,0.8401500273154391,0.0015429393978111374,0.4394599063363653,0.6467868499666093,0.8854113807586084,7224.775889228951,
,,0.3,线性,,48.47969328703704,0.24541225484354762,0.8535875836548447,0.0015802159360036835,0.46348671064450786,0.6300464947955678,0.9027529769770571,6759.125983477081,
kairos23m,EWELD_Load_15T,0,/,,4108.054012345679,0.46054012936458283,0.2898549233585578,-0.0017029809731342758,0.9063564343432566,0.9676922471618611,0.6382607991237158,14288.24103595773,
,,0.1,均值,,4491.583333333333,0.5286404670095938,0.20894827388170528,-0.0006255372344483977,0.8127136282731557,0.9603443165505136,0.804914698133806,14350.016866077598,
,,0.1,前项,,5076.883641975309,0.5119107254254209,0.18890233412881147,-0.0027445366021774057,0.7226502112638057,0.9608272516405267,0.8471002466293035,14439.840901162032,
,,0.1,后向,,4672.875925925926,0.5294279979992269,0.14122358015701453,0.001504106276779993,0.7120731149406118,0.9614606736084979,0.8796960116895463,14449.253758619123,
,,0.1,线性,,4380.4188271604935,0.5143984394362024,0.2565690497937414,-0.0008867391105167564,0.8509807218080799,0.9692087466464506,0.790722245254529,14243.086582387237,
,,0.2,均值,,4962.46975308642,0.5741454576571713,0.16028701051038285,-0.002439902221532611,0.7339080986898702,0.9184186164270057,0.8113513746456081,14409.725790940329,
,,0.2,前项,,5802.185185185185,0.5853398441616611,0.1369216883386075,-0.0005802411907454218,0.5677209113802809,0.9273953012665435,0.903362567256442,14556.629916959313,
,,0.2,后向,,5907.301234567901,0.5954821312682761,0.17179850093471094,-0.003719659942264094,0.5899522026865549,0.9195029651465947,0.8878979840277859,14544.970891122275,
,,0.2,线性,,4791.225308641975,0.553216612264922,0.23767707767742272,-0.0028107846810749735,0.7953655714782413,0.955089100753598,0.8292431539051425,14212.757721960712,
,,0.3,均值,,6249.085185185185,0.647676042561665,0.2113759835289764,-0.0020928724992293197,0.6974006588790796,0.8699160280105452,0.8455003849567218,14408.436209213398,
,,0.3,前项,,8091.631481481481,0.6445157690964732,0.18184899595506354,-0.007596552825196735,0.45770987637672395,0.8766436481977682,0.9105006403205521,14605.530731299436,
,,0.3,后向,,7953.084567901235,0.6719144037288566,0.15902281625487338,-0.0034046317517799993,0.4332248657807377,0.8563606748395506,0.9068723962669143,14586.92584487002,
,,0.3,线性,,5744.591975308642,0.5954615200266902,0.27829780499008805,-0.005022209774286453,0.7151478315696183,0.9342166213353372,0.8784417185711523,14129.300957583104,
kairos23m,Finland_Traffic_15T,0,/,,1207.901111111111,0.2217879905269376,0.050101781403224646,-0.0035353122196216313,0.832779307352206,0.9534661342161719,0.8098075027676132,13424.493441293313,
,,0.1,均值,,1447.3977777777777,0.26599109409148913,0.05593460862929287,-0.004913880925371116,0.7558076381851159,0.9425287612094291,0.8525423809268435,13527.078882634582,
,,0.1,前项,,1902.3638888888888,0.27364503452263345,0.06135935222801166,-0.005490042288489284,0.6577959039888364,0.9269876225821838,0.8897538325214208,13677.543018938319,
,,0.1,后向,,1772.632361111111,0.2666164040890915,0.06307090339641516,-0.003914962677295528,0.6977424530639477,0.9462011500214661,0.8793633883813609,13656.757218427665,
,,0.1,线性,,1528.6102777777778,0.26444852409502767,0.07766520003782443,-0.004289724442683001,0.7929849245991352,0.9458489815967249,0.8471789107071143,13375.033297349704,
,,0.2,均值,,2180.3063888888887,0.33892996648800694,0.07485569989239178,-0.0041834042250499266,0.7027309282789325,0.9018137747027664,0.8652802605473748,13582.932707181308,
,,0.2,前项,,3356.807222222222,0.3525655774711946,0.13145948017502262,-0.0025392431716745783,0.5721188955392574,0.8802744567585021,0.9002810139036143,13752.103139284338,
,,0.2,后向,,2669.3069444444445,0.3498306658540155,0.09794898304840563,-0.008961474472097521,0.5666829363674302,0.8959693024856932,0.9107610331825328,13753.698200754781,
,,0.2,线性,,2229.5391666666665,0.32068863603725073,0.10988451573500388,-0.006343070367978572,0.7208303679703831,0.933060283625412,0.8764458883950427,13302.53792762764,
,,0.3,均值,,2731.6833333333334,0.38554285651714393,0.12509543756629893,-0.001226069157148324,0.633540497931316,0.861857776353707,0.8895805196564208,13573.556648037833,
,,0.3,前项,,4573.982222222222,0.41789087175842576,0.1330612796513841,-0.0014809057000292622,0.44167817754742555,0.8399324613962287,0.9255071454000156,13828.189776557236,
,,0.3,后向,,3394.6630555555557,0.38735703602117916,0.1474406560377231,-0.004103533955582474,0.45810164161555783,0.864812529274193,0.9258279113253305,13821.104468152082,
,,0.3,线性,,2405.2161111111113,0.3710279409677044,0.17541974293058565,-0.0026314798205866676,0.6743663940337059,0.9191205770495374,0.9156150003068018,13182.180934012262,
kairos23m,NE_China_Wind_H,0,/,,0.5385660807291667,0.7722353671540303,0.9278407671626396,-5.563315160171103e-05,0.16960890855362287,0.667719360209137,0.9533312930185474,1330.968937649283,
,,0.1,均值,,0.5163733588324653,0.7806739777741581,0.9079129642485222,-1.5130502013668183e-05,0.11591890277129696,0.6261202220410083,0.9247577339151741,2241.382042335291,
,,0.1,前项,,0.5986619737413195,0.8166279446986648,0.9171193470924143,-5.312359554671462e-05,0.12743349911757224,0.588711996749416,0.931393941684763,2058.4038243062587,
,,0.1,后向,,0.5593787299262153,0.8213785588587437,0.9009758105665667,-6.625236655448814e-05,0.10950167853095587,0.6090411034038075,0.9390228258747766,2059.833776664441,
,,0.1,线性,,0.5408437093098958,0.7884561874422875,0.9328773854883352,-6.21455469921387e-05,0.1492938394118867,0.5877945521123871,0.9526670845595426,1287.8827903719175,
,,0.2,均值,,0.5813394758436415,0.8924020317206662,0.8872373511707098,-3.679574150729773e-05,0.06373002130796955,0.4817075736753729,0.9199228671949998,2473.7281826445783,
,,0.2,前项,,0.5480852762858073,0.7790324328185171,0.9189566718691629,-6.458443648449115e-05,0.09995985868036382,0.51170585693382,0.9380426667529769,1811.8896684441709,
,,0.2,后向,,0.600016615125868,0.8317028809072649,0.9145982416034714,-3.904134076722419e-05,0.09102002518526255,0.5411364747768528,0.9465321853278295,1930.2147143905338,
,,0.2,线性,,0.5741830190022786,0.8054663911282594,0.9303676716292815,-5.169627094384001e-05,0.12309921129061606,0.5670403412517082,0.9614743845202957,1253.0872180346244,
,,0.3,均值,,0.7117947048611111,0.9655470043382084,0.8358465777053881,-2.7139082537871312e-05,0.04063902097511983,0.3912390628937825,0.9044413683615379,3006.753693749074,
,,0.3,前项,,0.6521194034152561,0.892358613541391,0.9103757557548812,-9.6068049691676e-05,0.09535168347211556,0.44384384997182585,0.9107018632217088,2358.121489540142,
,,0.3,后向,,0.6231710222032335,0.8216731985429042,0.8844154865644744,-8.909227348347158e-06,0.07963707146432021,0.4659892791447214,0.9326744344849247,2481.422664293307,
,,0.3,线性,,0.6099850972493489,0.8348750468787698,0.933056142815862,-5.528048877932832e-05,0.12797817353059776,0.4201194514845529,0.9583913920819664,1151.4679699120652,
kairos23m,OpenElectricity_NEM_5T,0,/,,156265.17333333334,0.04739613147654118,0.36033827889137715,0.007940110162608502,0.9338949782057384,0.9749623074525264,0.9207469345285733,15465.081418115684,
,,0.1,均值,,207136.17777777778,0.05422675755647615,0.19573153444202526,0.017089813558754174,0.8290209833166753,0.9592844618175729,0.9426949873339472,16304.074715911333,
,,0.1,前项,,178038.4711111111,0.0503608223827584,0.1916605910744982,0.004393190878142039,0.8213731292259967,0.9664778055833834,0.9471264852222466,16211.45828644568,
,,0.1,后向,,173476.33777777778,0.049713522457607,0.27465610936492535,0.011358315823823927,0.885285790993132,0.9590756599775672,0.9219081546411063,16210.417522538395,
,,0.1,线性,,156525.40444444446,0.04742094530566206,0.33149676773183856,0.001240229954319013,0.922833934027176,0.9709962920197439,0.9202303391201678,15376.212888310769,
,,0.2,均值,,254810.98666666666,0.06102606739927959,0.14500164334193352,0.02429939483032541,0.6889863097674207,0.9190451038685545,0.9442161165441865,16763.809123950112,
,,0.2,前项,,214678.04444444444,0.05765414075345951,0.20392511958512607,0.026737230757736846,0.7762976931718211,0.9378758764613311,0.9293867519070449,16551.918066747472,
,,0.2,后向,,231565.58222222223,0.05791134105827515,0.19228684193675363,0.014752285983970681,0.7995944855209969,0.9500142414847593,0.9452607292146784,16590.861082068142,
,,0.2,线性,,174439.16444444444,0.05072968138739877,0.3214581938675021,0.022969746801852868,0.9025290005656483,0.9692314801742901,0.9387951438311539,15282.96127881161,
,,0.3,均值,,334232.5333333333,0.07054822503156247,0.09645392426712943,0.04243336745454278,0.6035075362194509,0.8301996616258129,0.9331153475042754,17071.653164868596,
,,0.3,前项,,242515.4488888889,0.06164105228544831,0.1562983783193265,0.019145126436450007,0.7578847237263645,0.9157559177181686,0.9283370858545756,16819.050652267826,
,,0.3,后向,,259779.84,0.0620007011758273,0.14526446051610684,-0.00397439955590447,0.7410832725048684,0.925469750530304,0.9468109224700549,16828.158762925686,
,,0.3,线性,,168055.7511111111,0.049993318190556676,0.30308363837180685,0.001535013437986603,0.902074522294981,0.9644166529754677,0.9410700232171649,15146.277596835254,
kairos23m,Port_Activity_D,0,/,,33105616.592592593,1.4997998906013885,0.01226221331037125,-0.19304135533914982,0.08105697417400955,0.030605012305125957,-0.046787788560566985,14510.802029114324,
,,0.1,均值,,32891371.52,1.490421995267425,0.008602866045867907,-0.009687006771460874,0.0937198940781893,0.03186632048606317,-0.03672407178333906,14450.122735645627,
,,0.1,前项,,33338748.776296295,1.512958949346098,0.10629628982522248,0.3446782498771708,0.09481561022094938,0.033349778049634106,-0.027995374018513902,14495.312487476398,
,,0.1,后向,,33901296.45037037,1.5468185251329742,0.02907350147622149,-0.4046240097223192,0.09203460976832589,0.028633267351950334,-0.036130180604872754,14453.342637060554,
,,0.1,线性,,33482163.38962963,1.5206849488153822,0.04623709461096596,-0.06561899368017077,0.09278875690284905,0.02765558254869872,-0.03424333802537172,14479.042415881224,
,,0.2,均值,,31718956.752592593,1.4312925463253325,0.0036456576754274606,0.11028343540479439,0.10869409459427733,0.07573809702096355,-0.031707015990862085,14438.553604154897,
,,0.2,前项,,31215597.795555554,1.3993742737234582,0.29385738701803094,0.40885996578476985,0.10019131163659574,0.03628463013834964,-0.013818728846817748,14507.572735312593,
,,0.2,后向,,33989588.00592592,1.5687462190807742,0.3346530268146437,1.061777033880863,0.10291227248632236,0.046371118650345704,-0.016206832263071947,14513.200016730707,
,,0.2,线性,,32578042.69037037,1.4887884383025964,0.3046170622385633,0.7504012611637892,0.10237208211423184,0.04576927120879041,-0.013149421908691242,14513.374592933142,
,,0.3,均值,,31773130.145185184,1.4417923060935525,0.0,-0.5016009486250786,0.1054029338985479,0.04148399984698417,-0.016644100040147453,14311.116218329373,
