基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,kalman_arima,23.051392341,86235645215,0.98046559,0.192191294,26.92819848,0.706227414,0.883323511,0.897297385,43591.67582
,,,gp_rbf,23.374214554,88237195046,0.986216089,0.215642541,34.23651014,0.694225852,0.871886048,0.896628922,43734.11657
,,,saits,21.668929148,87691814357,0.976221055,0.352727169,26.86907937,0.813627128,0.926587087,0.890901962,42995.20693
,,0.3,均值,35.229140902,95008684478,0.996937527,0.123790085,20.87312734,0.615524742,0.805745683,0.886134755,44071.24187
,,,前项,34.987878847,95090352237,0.996635742,0.355381513,32.45639441,0.528227387,0.781283475,0.908802208,43955.09951
,,,后向,36.177820206,96112774422,0.995213962,0.337797586,24.91875082,0.515667885,0.771550718,0.906727135,43941.9456
,,,线性,36.916591072,94552288279,0.998364529,0.319010605,29.91130854,0.526692053,0.738053633,0.917870634,43788.48539
,,,kalman_struct,43.852676868,121243692491.66222,1.063057977,0.640680913,46.15607732,0.384927398,0.669744266,0.913210688,43914.76464
,,,kalman_arima,34.57681036,91766356997,0.99336194,0.132476106,22.4779477,0.629035648,0.81441073,0.895808875,43762.84596
,,,gp_rbf,34.925169182,99153905801,1.002694969,0.183171727,32.14990226,0.613041879,0.799785223,0.889917734,44018.82456
,,,saits,31.168331242,84533596652,0.968957034,0.299676679,24.43539059,0.775886619,0.924723604,0.890008811,43151.37237
sundial,Coastal_T_S_15T,0,/,/,0.005451445,0.001671544,0.313781287,-1.27E-06,0.124245889,0.153895235,0.099850654,2230.589842
,,0.1,均值,0.017390705,0.005523813,0.001686733,0.308416759,-4.34E-07,0.153003826,0.144900716,0.129094268,2071.101336
,,,前项,0.017299726,0.005660465,0.001682623,0.351686338,-8.88E-07,0.127756209,0.154776777,0.177883812,2104.488774
,,,后向,0.015437795,0.005550479,0.001685533,0.321931637,-1.37E-06,0.117766812,0.143032421,0.164683973,2089.141928
,,,线性,0.014045469,0.00566453,0.001697442,0.338542685,-1.13E-06,0.145180388,0.149595284,0.139900782,2077.660512
,,,kalman_struct,0.018598755,0.005661661,0.001691049,0.340360559,-8.32E-07,0.141022333,0.147054974,0.186163022,2105.577168
,,,kalman_arima,0.016386544,0.005636004,0.001699381,0.317446111,-6.50E-07,0.157188414,0.142945717,0.121757538,2063.580189
,,,gp_rbf,0.014946921,0.005593692,0.001683756,0.334855769,-1.10E-06,0.136654132,0.150948624,0.119552459,2052.696834
