基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,kalman_struct,0.387599235,0.008820036,0.102924251,0.997365532,1.00E-05,0,0.004606404,0.640134908,-6804.612787
,,,kalman_arima,0.46197967,0.00879675,0.100993363,0.997256751,9.99E-06,0,0.003553156,0.646092478,-6813.54811
,,,gp_rbf,0.485489806,0.008267128,0.099208026,0.997144617,1.03E-05,0,0.005318763,0.640694888,-6742.785684
,,,saits,0.627201974,0.006654486,0.087370899,0.997022281,9.94E-06,0.004511772,0.002157664,0.618920158,-6413.781196
,,0.3,均值,4.593758865,0.007194242,0.099057056,0.961747094,1.03E-05,0.12414229,0.005695921,0.749023156,-2308.457238
,,,前项,0.631863311,0.007910232,0.101369456,0.997010988,1.05E-05,0.001398964,0.003416901,0.658524387,-6617.446635
,,,后向,0.66867516,0.007693896,0.095819277,0.99656155,9.60E-06,3.47E-05,0.004861028,0.677864605,-6669.298377
,,,线性,0.384758127,0.010700689,0.119754774,0.997525585,1.00E-05,0,0.0067,0.646448714,-7066.602929
,,,kalman_struct,0.550619448,0.012680766,0.119948832,0.997515628,9.59E-06,0,0.005247092,0.641541577,-7078.99373
,,,kalman_arima,0.59613609,0.010083482,0.108559794,0.997477559,1.00E-05,0,0.006329066,0.649485298,-7063.107215
,,,gp_rbf,0.491390052,0.008646803,0.103683255,0.997294814,1.04E-05,0,0.011616679,0.650844367,-6902.412316
,,,saits,0.725078436,0.007407562,0.091309981,0.995716656,1.09E-05,0.003754742,0.013385893,0.698067765,-6095.284993
chronos2,Finland_Traffic_15T,0,/,/,794.0344444,0.16687188,0.070071155,-0.002773553,0.829569733,0.951407403,0.831664144,58596.72177
,,0.1,均值,6.620169491,949.9176389,0.176719157,0.062198702,-0.002864637,0.7454017,0.939606937,0.8772185,59376.4704
,,,前项,9.045182192,1046.999306,0.185203756,0.054752596,-0.003044104,0.651240415,0.941425319,0.910303829,60009.53671
,,,后向,8.398400831,1213.091389,0.190629001,0.064310215,-0.002905257,0.695958087,0.943034261,0.898550412,59937.94242
,,,线性,5.375844842,992.9284722,0.178059269,0.08613331,-0.002968946,0.778810121,0.942752256,0.865820576,58586.55968
,,,kalman_struct,5.319719809,1005.10625,0.177298851,0.073667029,-0.002806509,0.809622611,0.946224448,0.858151846,58552.66432
,,,kalman_arima,6.241896737,961.7372222,0.175768317,0.064621098,-0.002831619,0.7572491,0.941977009,0.880062002,58789.62575
,,,gp_rbf,6.673173988,932.1718056,0.17738537,0.069222669,-0.002967184,0.741044453,0.937837364,0.87875505,59335.01172
,,,saits,3.820387077,904.0827083,0.177288627,0.081746035,-0.002747875,0.809125887,0.947961474,0.855155451,58628.31606
,,0.2,均值,14.88346777,1858.347639,0.228788622,0.078228001,-0.001992005,0.684319383,0.888257448,0.876793557,59940.42872
,,,前项,18.343095803,1910.106389,0.241105991,0.093861901,-0.002696274,0.532253161,0.882881835,0.924170869,60767.43263
,,,后向,19.209897876,1529.483333,0.22319085,0.098777583,-0.002143033,0.533768319,0.879652824,0.918388321,60736.04515
,,,线性,12.40480383,1631.247778,0.222093641,0.104076779,-0.002563725,0.698413817,0.927593511,0.902566699,58424.8936
,,,kalman_struct,11.59004972,1419.534167,0.207718154,0.087208959,-0.002748607,0.746053399,0.932572636,0.89224922,58371.57967
,,,kalman_arima,14.090709448,1917.590278,0.23043086,0.084820062,-0.002104881,0.705704887,0.902284341,0.890258932,58766.85438
,,,gp_rbf,14.829966378,1698.677083,0.221127817,0.08261453,-0.002353747,0.678753078,0.895501083,0.884234465,59852.95473
,,,saits,8.628706121,1445.938056,0.201726178,0.108919664,-0.002276664,0.78824467,0.941363726,0.864984246,58484.51087
,,0.3,均值,22.010652924,2743.341111,0.28778439,0.130019286,-0.001491819,0.634012261,0.847458421,0.902958028,59933.16858
,,,前项,27.59408741,2815.295556,0.290631171,0.122905529,-0.002472613,0.422446747,0.852543544,0.935635524,61031.20992
,,,后向,26.359017372,2512.303889,0.273707191,0.135208658,-0.002069262,0.459963939,0.860252755,0.930328296,61028.14478
,,,线性,18.530224133,2000.806667,0.259610731,0.172338727,-0.002219372,0.678088696,0.913595674,0.925123707,58015.5669
,,,kalman_struct,16.721000481,1709.265556,0.229453105,0.112552961,-0.002393634,0.754209003,0.928085891,0.901856537,57936.08613
,,,kalman_arima,20.816441774,2747.305556,0.2945507,0.135676692,-0.001574931,0.657501193,0.869388534,0.916318755,58446.75314
,,,gp_rbf,21.865682077,2537.166111,0.273852307,0.13258678,-0.002047858,0.600182487,0.852936907,0.910337004,59895.25354
,,,saits,13.636332703,1580.743889,0.225004788,0.118567563,-0.002252793,0.755944651,0.923725183,0.87525231,58370.88529
chronos2,NE_China_Wind_H,0,/,/,0.662607914,0.857108731,0.954420758,-0.000549716,0.068610919,0.476506057,0.946922981,5106.381796
,,0.1,均值,15.860865355,0.615845235,0.833842299,0.922295682,-0.000479347,0.032566662,0.454630167,0.925142846,9142.417599
,,,前项,6.891206503,0.670200094,0.854348246,0.95405282,-0.000544667,0.044915768,0.369215482,0.923265149,7389.946797
,,,后向,6.890795201,0.595935271,0.813342455,0.941774672,-0.000570501,0.041805316,0.42401977,0.939599311,7396.444967
,,,线性,4.847643241,0.660364914,0.864106242,0.954832109,-0.000555931,0.05130466,0.384092874,0.942970354,4973.341214
,,,kalman_struct,5.8173659,0.657092667,0.859224944,0.954520496,-0.000554271,0.047770879,0.403811787,0.941800463,4973.225212
,,,kalman_arima,15.306398273,0.617349497,0.831120158,0.923700814,-0.000477822,0.033436605,0.451177963,0.949531546,6690.607028
,,,gp_rbf,6.856195956,0.608181169,0.825432123,0.95095027,-0.000550069,0.047929491,0.420876845,0.936103474,6095.611124
,,,saits,6.932813287,0.624489763,0.835830886,0.953182648,-0.00053333,0.071485616,0.514192961,0.93279343,6594.330068
,,0.2,均值,31.156837821,0.663332876,0.909299808,0.914795829,-0.00043839,0.026118423,0.390403895,0.924618786,9852.58053
,,,前项,12.3093701,0.55823093,0.768415578,0.955805069,-0.000565888,0.03842172,0.382550932,0.946802767,7206.610038
,,,后向,10.621527284,0.711085892,0.863598802,0.947198999,-0.000524317,0.029824938,0.386772414,0.951602557,7366.57373
,,,线性,8.564829588,0.696561644,0.86958669,0.954043211,-0.000546638,0.039956039,0.381783997,0.961774081,4798.856553
,,,kalman_struct,10.972265929,0.651103592,0.836412349,0.953013187,-0.000555473,0.032031591,0.3762731,0.956454234,4840.918773
,,,kalman_arima,30.802343965,0.607686742,0.863551358,0.914079631,-0.00043437,0.02994588,0.406699407,0.955696336,7045.007944
,,,gp_rbf,12.01186794,0.640860579,0.844372607,0.951990853,-0.000550523,0.041698044,0.34869234,0.948780668,6630.502515
,,,saits,11.734829873,0.649853261,0.854986765,0.955561197,-0.000530198,0.111204715,0.562893857,0.950580466,7031.732781
,,0.3,均值,48.959226608,0.821243286,1.133059014,0.875347429,-0.000364041,0.017497286,0.275205003,0.91085239,11358.90522
,,,前项,21.064908803,0.691940901,0.918810187,0.939417293,-0.000554227,0.027458849,0.274617103,0.926379524,9340.214201
,,,后向,17.334219187,0.7546541,0.889707523,0.93614729,-0.000537765,0.035793577,0.354317895,0.935364299,9348.548393
,,,线性,13.384404391,0.711654748,0.87784373,0.955958276,-0.000545304,0.028590466,0.265252763,0.95631169,4631.148562
,,,kalman_struct,16.142069757,0.731772529,0.890978248,0.939696777,-0.000549362,0.012954208,0.293778611,0.945921185,4622.880258
,,,kalman_arima,48.585580826,0.760520342,1.076844443,0.888567875,-0.000370029,0.025631657,0.280905397,0.949762719,8051.140372
,,,gp_rbf,17.616840899,0.71117435,0.873637148,0.947161586,-0.00054771,0.042948147,0.274309806,0.941630705,8062.120925
,,,saits,17.512830496,0.670263884,0.84768712,0.958490175,-0.00053515,0.115509454,0.657342457,0.927213251,8017.24833
chronos2,OpenElectricity_NEM_5T,0,/,/,141438.72,0.044386902,0.530014096,-0.050914324,0.919115971,0.942349959,0.940851284,66598.68819
,,0.1,均值,1.50578288,175921.3156,0.051170294,0.318882126,-0.046557587,0.818596925,0.934013035,0.95840685,70791.06519
,,,前项,1.157961615,139580.1956,0.04707751,0.345928911,-0.049727224,0.819380802,0.931533712,0.958570253,70728.88196
,,,后向,1.024420263,137133.6889,0.045234311,0.399796551,-0.049656326,0.860081084,0.937194164,0.94851493,70650.10731
,,,线性,0.405208193,144648.1956,0.046316689,0.512866958,-0.051172571,0.911904811,0.939900421,0.948101018,66299.36363
,,,kalman_struct,0.232512972,145478.3378,0.045742664,0.515098353,-0.051345696,0.914476212,0.940596204,0.943067929,66262.87157
,,,kalman_arima,1.43524458,157405.6533,0.049869306,0.328355159,-0.046641612,0.82558429,0.934762178,0.965827707,68017.68316
,,,gp_rbf,0.891514944,144851.9467,0.047308514,0.435560061,-0.050104529,0.871498451,0.936517803,0.947046672,69451.10026
,,,saits,0.77984226,150995.6978,0.047167755,0.438947566,-0.048721456,0.885845671,0.939283551,0.949368506,67224.25149
,,0.2,均值,2.775171649,191300.2667,0.055218362,0.26683848,-0.043828014,0.705125644,0.890137851,0.95396541,72236.70268
,,,前项,2.226182845,192645.3511,0.055402268,0.331810337,-0.050758287,0.77063067,0.915210944,0.951283586,71698.39568
,,,后向,1.913985079,158504.3911,0.050470865,0.351954115,-0.052813962,0.798142024,0.928456832,0.959945887,71613.20214
,,,线性,0.784759371,160121.92,0.050387666,0.493979503,-0.050359044,0.891021906,0.937684653,0.960499215,66003.51734
,,,kalman_struct,0.46855791,163809.8667,0.050124839,0.513003581,-0.050498306,0.911146579,0.938852666,0.950687858,65922.60109
,,,kalman_arima,2.656129399,180367.36,0.053584025,0.277100315,-0.043959709,0.7196297,0.896315266,0.961639343,68521.23152
,,,gp_rbf,2.399607202,181129.9556,0.053840076,0.345105904,-0.050083606,0.744307739,0.909063805,0.954182122,71433.80085
,,,saits,1.429354787,160644.8711,0.051218941,0.403633666,-0.046974904,0.846101518,0.93293337,0.961335222,67850.65778
,,0.3,均值,4.346548808,307835.4489,0.071032935,0.197989457,-0.037158882,0.604603232,0.787883556,0.940637399,73842.38899
,,,前项,2.878416717,224152.4089,0.058636788,0.316493367,-0.050835044,0.777219512,0.906191066,0.953088745,72723.76072
,,,后向,3.000512379,198152.4444,0.056710998,0.308514383,-0.045951992,0.756961609,0.88577415,0.953195588,72751.37888
,,,线性,1.223031053,160577.5822,0.050424305,0.503341667,-0.051103215,0.897812857,0.92887864,0.955706786,65632.40339
,,,kalman_struct,0.717329334,162606.56,0.050259759,0.504809917,-0.050236297,0.910841422,0.942471316,0.953872215,65529.32475
,,,kalman_arima,4.166973388,280233.0311,0.067298871,0.210573265,-0.038391279,0.626261462,0.809162997,0.960252905,69114.352
,,,gp_rbf,3.915051711,256003.0933,0.064755802,0.306999844,-0.046468103,0.654384467,0.811941849,0.946125761,72982.61054
,,,saits,2.357746369,182915.0756,0.054114124,0.364322954,-0.044140796,0.821404705,0.901902136,0.955941361,68834.64558
chronos2,Port_Activity_D,0,/,/,35191788.28,1.638878762,0.012262213,-0.193041355,0.081056974,0.030605012,-0.046787789,14510.80203
,,0.1,均值,14.996660233,35012711.16,1.612780671,0.008602866,-0.009687007,0.093719894,0.03186632,-0.036724072,14450.12274
,,,前项,15.22864755,35604440.56,1.66127134,0.10629629,0.34467825,0.09481561,0.033349778,-0.027995374,14495.31249
,,,后向,13.332461675,35516749.75,1.656860171,0.029073501,-0.40462401,0.09203461,0.028633267,-0.036130181,14453.34264
,,,线性,15.666702271,35427068.59,1.647611762,0.046237095,-0.065618994,0.092788757,0.027655583,-0.034243338,14479.04242
,,,kalman_struct,19.460623423,34970507.19,1.613594954,0.108462096,-0.022031975,0.093087921,0.031219207,-0.034581985,14494.42796
,,,kalman_arima,14.991570791,35008360.3,1.612446166,0.008701894,-0.011161873,0.093790825,0.032040788,-0.036832127,14449.97687
,,,gp_rbf,16.15314134,35199361.33,1.629367652,0.027354166,-0.16527893,0.09355471,0.032326265,-0.037696501,14453.62328
,,,saits,15.876180013,34523066.22,1.582685785,0.014942903,-0.208622846,0.093099066,0.028549425,-0.03707469,14448.37479
,,0.2,均值,20.600628535,32929376.33,1.496848416,0.003645658,0.110283435,0.108694095,0.075738097,-0.031707016,14438.5536
,,,前项,20.974939982,34478926.51,1.520861907,0.293857387,0.408859966,0.100191312,0.03628463,-0.013818729,14507.57274
,,,后向,16.383092244,33893089.28,1.585591001,0.334653027,1.061777034,0.102912272,0.046371119,-0.016206832,14513.20002
,,,线性,22.186683655,36169873.64,1.550479601,0.304617062,0.750401261,0.102372082,0.045769271,-0.013149422,14513.37459
,,,kalman_struct,24.767729441,39759553.42,1.612072251,0.600778556,1.000057002,0.105737146,0.057189398,-0.015021779,14539.18199
,,,kalman_arima,20.567937215,33085713.07,1.504013132,0.005135404,0.088414163,0.108645935,0.069574482,-0.030720876,14440.57852
,,,gp_rbf,22.199988047,34326886.02,1.584497325,0.037526902,0.460252408,0.108818389,0.06523047,-0.035771012,14444.13776
,,,saits,24.449180603,36176230.02,1.663515493,0.043173469,0.12523951,0.114531,0.069669207,-0.032026358,14450.14111
,,0.3,均值,27.790870667,29980511.19,1.390448134,0,-0.501600949,0.105402934,0.041484,-0.0166441,14311.11622
,,,前项,27.533861796,35190001.21,1.679832538,0.064734721,0.100023898,0.098160505,0.031646776,0.000624651,14351.94042
,,,后向,27.870040894,33889794.28,1.616753472,0.118807077,-0.152523812,0.100118648,0.041676928,-0.018148756,14328.68774
,,,线性,30.086795807,33659535.36,1.588130787,0.053600128,0.01668059,0.100854747,0.033265329,-0.006682895,14336.22966
,,,kalman_struct,38.396432241,39431715.65,1.641666383,0.221927675,0.141713685,0.103831782,0.041686748,-0.011851178,14366.09393
,,,kalman_arima,27.835147858,30131987.34,1.394010105,0,-0.453911892,0.10337937,0.034467651,-0.015812753,14311.92383
,,,gp_rbf,28.791439056,33197585.45,1.526257206,0.057671433,-0.067841552,0.100407128,0.037659485,-0.020017828,14316.83844
,,,saits,36.606694539,36551429.69,1.692334287,0.051525057,0.198341708,0.102192657,0.038496897,-0.003669353,14342.11921
chronos2,Supply_Chain_Customer_D,0,/,/,765519122.6,0.291435773,0.431510108,11.93939278,0.727986548,0.909814323,0.094403399,14628.17348
,,0.1,均值,2.399383545,819136891.3,0.297212818,0.426051398,12.42142167,0.72239341,0.797822514,0.124834542,14602.55242
,,,前项,2.325096766,823218764.6,0.299505841,0.470780173,7.329185946,0.725574417,0.796474334,0.131708615,14598.96469
,,,后向,2.711104711,868966970.4,0.31295582,0.512570595,4.33966028,0.723253573,0.803161993,0.123397637,14626.99154
,,,线性,2.537936529,859340168.9,0.30821913,0.477630232,5.383976796,0.72508337,0.80758828,0.129331865,14610.40643
,,,kalman_struct,2.613193512,896749671.2,0.321356813,0.56557383,1.44363187,0.72661723,0.800648805,0.124726331,14626.70406
,,,kalman_arima,2.339903514,828418148.1,0.29822182,0.42560775,12.09546154,0.724053823,0.780851003,0.124167604,14600.55656
,,,gp_rbf,2.510349433,832211274.7,0.301521658,0.474522458,10.23041486,0.727527179,0.792718446,0.118053525,14594.72852
,,,saits,2.460871061,866192224.7,0.306516922,0.423557562,10.0472517,0.724821466,0.823240245,0.127162326,14604.04184
,,0.2,均值,6.986860911,1188535847,0.366990469,0.431808795,8.617579634,0.700468071,0.715179363,0.128497227,14625.9911
,,,前项,7.149454117,1280895003,0.38735017,0.473625328,-1.303477863,0.694347981,0.700582113,0.14113017,14629.62483
,,,后向,11.154636701,1571330846,0.411219573,0.650840959,27.87353311,0.696132967,0.728195285,0.143984105,14673.31557
,,,线性,7.211424351,1358730120,0.403528555,0.516464761,13.17520591,0.699149039,0.705976836,0.134078953,14641.50745
,,,kalman_struct,9.993469874,1521071724,0.436374992,0.650582113,15.9429286,0.700906568,0.698861387,0.121875238,14654.01101
,,,kalman_arima,6.839555422,1166844984,0.358545002,0.433420149,9.519200788,0.704319924,0.706951819,0.127675375,14617.15778
,,,gp_rbf,6.658725103,1333531383,0.414470361,0.511179429,19.61534433,0.704724535,0.748064456,0.110145764,14612.88662
,,,saits,6.212568442,1292671677,0.386611488,0.422341058,7.094064748,0.696446405,0.680369841,0.146214588,14621.76466
,,0.3,均值,13.918804169,1028814517,0.345189028,0.33672259,8.420652325,0.668684577,0.614482695,0.166182139,14551.42659
,,,前项,16.9868927,945353207.7,0.352028424,0.60525503,26.19585033,0.634517137,0.659787937,0.260197087,14599.6355
,,,后向,15.958071391,1161342776,0.363888798,0.64084921,8.916927032,0.643529952,0.637695184,0.197298751,14626.08174
,,,线性,14.742713292,1010080251,0.333509047,0.502529833,19.12233892,0.630518667,0.601958033,0.244339427,14599.72324
,,,kalman_struct,18.035325368,1098391516,0.351738368,0.639042864,24.07827012,0.646876486,0.613192413,0.224308027,14618.27655
,,,kalman_arima,13.799615224,991617060.4,0.34213517,0.339513624,9.504865728,0.673248142,0.6551425,0.19178813,14544.06106
,,,gp_rbf,13.471246719,1064533579,0.336541093,0.473747362,13.57399222,0.668631059,0.647971577,0.160229739,14533.24547
,,,saits,13.894016902,1055412327,0.337841216,0.352664449,11.17630915,0.669855989,0.701395512,0.171227889,14538.16407
chronos2,Supply_Chain_Location_D,0,/,/,206507382.7,0.372468895,0.330535892,5.191970353,0.628741906,0.811415006,0.009072432,13936.21437
,,0.1,均值,4.929188569,286016992.9,0.412829409,0.326481647,4.01850133,0.628295625,0.725699127,0.057873996,13893.91019
,,,前项,8.262687683,328727216.7,0.478268455,0.478894617,2.786023501,0.630000439,0.714604615,0.052649774,13931.60062
,,,后向,5.988376141,268096295.1,0.397972548,0.561916847,6.619786362,0.630691014,0.716498313,0.051255532,13941.36853
,,,线性,5.44144551,385821840.1,0.520321994,0.487156482,4.320533951,0.631068047,0.711277173,0.053797807,13936.73572
,,,kalman_struct,5.710857232,415280466.3,0.516507768,0.711096797,4.708965874,0.633930135,0.708942401,0.047711457,13976.21028
,,,kalman_arima,4.96359841,270926794.9,0.405472479,0.332369356,4.048560472,0.630306314,0.721159182,0.054199122,13896.46018
,,,gp_rbf,4.809532166,274909927.3,0.417127545,0.41377913,4.771301885,0.63068593,0.717323674,0.044786467,13902.48783
,,,saits,4.744030317,371717279.3,0.481048705,0.314882687,3.260199763,0.623963496,0.719451772,0.064830716,13905.2984
,,0.2,均值,11.621167501,293574677.2,0.412903194,0.343291104,2.831326005,0.632992928,0.661632138,0.028337383,13884.39159
,,,前项,13.824610392,314205507.1,0.424622577,0.376941304,3.199482257,0.626056376,0.659546836,0.043551098,13908.41367
,,,后向,14.772125244,291685735.5,0.424260073,0.541023969,8.414824015,0.632498545,0.661617647,0.044430554,13938.97295
,,,线性,12.48411878,295480294.2,0.429666341,0.420057762,5.475216759,0.629769266,0.64577937,0.045815426,13916.03464
,,,kalman_struct,15.98935318,307759240.5,0.430468561,0.485177424,3.42671615,0.631593057,0.632927871,0.035212105,13931.06895
,,,kalman_arima,11.53085645,294345283.5,0.41243026,0.347459926,2.945731258,0.636351147,0.683448414,0.034027539,13879.75683
,,,gp_rbf,14.543154399,266118442.9,0.416096786,0.437793904,2.942740502,0.634374402,0.66091133,0.031121044,13889.9243
,,,saits,11.797908147,340527094.9,0.438651622,0.335046883,4.105157986,0.628734549,0.662146943,0.043635179,13896.13727
,,0.3,均值,11.409022331,337110873.1,0.459855912,0.280395783,0.580386116,0.586580971,0.543301561,0.069079636,13868.01956
,,,前项,12.370419184,289673877.4,0.423626121,0.416333832,7.677559934,0.575671402,0.58390286,0.084250771,13892.46729
,,,后向,14.001979192,314639695.3,0.428157416,0.406307469,6.584728234,0.57400265,0.607701706,0.087989505,13903.98718
,,,线性,11.800827026,272462570.4,0.405262903,0.390742726,6.853492956,0.575888421,0.586353286,0.084882168,13890.52428
,,,kalman_struct,18.001281102,392100334.6,0.535962832,0.600546027,11.0459164,0.578951318,0.573102392,0.073338244,13915.32526
,,,kalman_arima,11.310880025,351277960.2,0.463649504,0.274725453,1.234570551,0.592581924,0.548780853,0.06919799,13869.44824
,,,gp_rbf,11.24921004,290410672,0.437148554,0.357256294,2.545900743,0.581671213,0.570727668,0.071388384,13867.35666
,,,saits,11.400794029,360000461.9,0.45868869,0.280779666,2.148059751,0.580267451,0.580725711,0.073838694,13871.67578
chronos2,traffic,0,/,/,2.47E-05,0.111732449,0.355880384,6.17E-07,0.926455371,0.962261252,0.675068647,-12336.14343
,,0.1,均值,5.433423615,2.57E-05,0.113283126,0.185931967,6.30E-07,0.838341205,0.933900251,0.768876768,-11502.64005
,,,前项,6.56044933,2.54E-05,0.114639723,0.319703338,6.41E-07,0.800975896,0.926071359,0.808476155,-11570.96255
,,,后向,7.097572406,0.000025873,0.11678182,0.33346317,6.27E-07,0.777537877,0.932497085,0.823506289,-11530.19648
,,,线性,6.719875145,2.60E-05,0.116734235,0.305398965,6.52E-07,0.788766582,0.927294699,0.818532986,-11677.11891
,,,kalman_struct,10.183957545,4.01E-05,0.121872284,0.485106652,6.08E-07,0.615038639,0.911623207,0.872784642,-11379.06079
,,,kalman_arima,5.351236153,2.60E-05,0.114428172,0.182531608,6.27E-07,0.83682519,0.936782386,0.778282108,-11726.17815
,,,gp_rbf,5.664881643,2.53E-05,0.112920085,0.234278184,6.42E-07,0.828853235,0.933847592,0.7763689,-11594.89232
,,,saits,1.942359233,2.53E-05,0.113569092,0.370226129,6.16E-07,0.932394947,0.967803872,0.657180938,-12424.51805
,,0.2,均值,11.965124087,3.55E-05,0.144544542,0.113087887,4.89E-07,0.771523057,0.887796006,0.785119044,-11092.40995
,,,前项,14.648601898,3.03E-05,0.137913739,0.352022058,6.84E-07,0.698837533,0.886916167,0.828821604,-11265.97696
,,,后向,15.072134535,3.61E-05,0.145165281,0.318865437,6.03E-07,0.689358588,0.876677347,0.838217448,-11271.95419
,,,线性,14.824601825,4.94E-05,0.169033881,0.316716576,6.31E-07,0.694111743,0.869507186,0.834660307,-11478.85636
,,,kalman_struct,24.830502033,5.01E-05,0.168417449,0.52683425,4.95E-07,0.466002529,0.822086086,0.871869525,-11146.76802
,,,kalman_arima,11.778563635,3.80E-05,0.152597337,0.110986874,5.00E-07,0.771258154,0.898143484,0.797215876,-11518.52692
,,,gp_rbf,12.234402259,4.03E-05,0.158670904,0.192423132,5.79E-07,0.762354669,0.884602969,0.791968189,-11209.174
,,,saits,4.145600599,2.93E-05,0.129157202,0.350960984,5.36E-07,0.935326497,0.972835389,0.67636484,-12386.06363
,,0.3,均值,17.489270973,0.00005573,0.211953803,0.045783975,3.48E-07,0.67561202,0.827604553,0.804578119,-11145.88902
,,,前项,21.9171676,5.58E-05,0.176462798,0.372481991,5.07E-07,0.553856283,0.828887693,0.869172625,-11593.41765
,,,后向,20.071818415,4.16E-05,0.165524462,0.352225011,5.66E-07,0.577163872,0.821331194,0.864702892,-11606.45612
,,,线性,20.614644114,5.20E-05,0.190870248,0.340684098,5.40E-07,0.565799624,0.803057925,0.872298402,-12000.63851
,,,kalman_struct,32.803927676,0.000129654,0.227581471,0.604847947,4.02E-07,0.31003099,0.756360538,0.897464837,-11572.00562
,,,kalman_arima,17.14702371,6.54E-05,0.234274264,0.041104885,3.51E-07,0.674063311,0.847932861,0.835042627,-11966.36995
,,,gp_rbf,17.245219231,6.32E-05,0.22384551,0.159336328,5.46E-07,0.662760825,0.823629024,0.822497496,-11286.73956
,,,saits,5.692708921,3.40E-05,0.147337478,0.354773842,4.81E-07,0.943969397,0.979940066,0.692820654,-13083.2428
chronos2,Water_Quality_Darwin_15T,0,/,/,18.66167942,0.016757182,0.973253087,-0.002360626,0.761507391,0.79478627,0.890527447,26833.56749
,,0.1,均值,0.560923405,19.48498806,0.017925641,0.740328896,-0.002299064,0.180983078,0.732424643,0.969207803,31513.10899
,,,前项,0.129176868,21.45531277,0.017894418,0.960838895,-0.002346763,0.620503029,0.770465072,0.922632072,27245.61004
,,,后向,0.128294337,19.51505534,0.017178729,0.965240344,-0.002354507,0.669549085,0.770735014,0.915942923,27190.37382
,,,线性,0.086860019,18.24969889,0.016688614,0.970981054,-0.002347581,0.713041807,0.783496604,0.906472973,26668.01429
,,,kalman_struct,0.101536616,18.13391791,0.016741289,0.965947636,-0.002348752,0.690685237,0.786021261,0.913743904,26674.41959
,,,kalman_arima,0.55583935,19.81848958,0.018018266,0.737218701,-0.002316809,0.182460944,0.72999986,0.975602632,29786.03302
,,,gp_rbf,0.11356816,19.23079427,0.017017617,0.970638031,-0.002348061,0.70194629,0.762142336,0.903794307,27079.91134
,,,saits,0.124979723,19.11804877,0.017156838,0.970356685,-0.002336096,0.696638298,0.76825314,0.907084063,27012.63135
,,0.2,均值,0.904009324,24.64848362,0.021310896,0.623263127,-0.00218904,0.150542657,0.531305421,0.945684507,33359.70302
,,,前项,0.276449661,21.85904948,0.018080568,0.949213584,-0.002374955,0.498703675,0.701310919,0.937434473,27519.96344
,,,后向,0.289917914,20.17181261,0.01731259,0.956033711,-0.002353476,0.517337061,0.676437635,0.927533109,27539.64802
,,,线性,0.195568101,22.9447347,0.018726031,0.966597649,-0.00236189,0.631863465,0.745634452,0.926775368,26396.57989
,,,kalman_struct,0.219360337,23.93674588,0.019284119,0.954802428,-0.002365381,0.559754994,0.752125048,0.94829834,26433.61288
,,,kalman_arima,0.911090487,23.40093316,0.020866082,0.626842699,-0.002199563,0.151879551,0.541166222,0.951418058,31104.90718
,,,gp_rbf,0.239654615,19.48368056,0.017280469,0.965584352,-0.002359741,0.607307037,0.680272081,0.903215343,27255.65584
,,,saits,0.243358724,20.83280165,0.018095587,0.965962198,-0.002348952,0.617460283,0.727868764,0.908052821,27200.72578
,,0.3,均值,1.613059267,25.10762533,0.022470164,0.517640503,-0.001787956,0.080972942,0.517578493,0.954706993,34429.15796
,,,前项,0.408469898,16.03339572,0.016652589,0.939489404,-0.002376439,0.408009127,0.70762328,0.948153691,27934.1145
,,,后向,0.423340187,18.01161024,0.016718565,0.93791434,-0.002358003,0.415232193,0.710490909,0.94047033,27865.21573
,,,线性,0.290606863,19.21102702,0.017935162,0.960664204,-0.002354707,0.569950403,0.743033139,0.934790716,26170.46191
,,,kalman_struct,0.36356329,20.75375841,0.018260521,0.952578899,-0.002360633,0.565857915,0.765313878,0.956749033,26201.53787
,,,kalman_arima,1.595935695,24.4171658,0.022569019,0.52382993,-0.001797735,0.084332989,0.516343836,0.960855405,31951.88802
,,,gp_rbf,0.335307295,22.65265842,0.018196251,0.960828852,-0.002361572,0.519795591,0.665094781,0.916352846,27509.56866
,,,saits,0.364574085,18.00539008,0.017395266,0.960497541,-0.002313739,0.519072034,0.690572539,0.91459871,27636.52502
chronos2,weather,0,/,/,248.1998264,0.025816956,0.487395924,0.001170128,0.460181028,0.818307964,0.925045726,47688.55182
,,0.1,均值,0.481431977,270.9954514,0.026535096,0.374137153,0.001058251,0.390940698,0.713338205,0.923883407,48555.39553
,,,前项,0.22711282,247.3865278,0.025902523,0.467361553,0.001192782,0.385445337,0.802976258,0.933692036,47716.94908
,,,后向,0.19966768,241.5853472,0.025452769,0.474548637,0.001055704,0.426676469,0.7892694,0.924852092,47683.51809
,,,线性,0.129610102,250.9946181,0.025936152,0.488351829,0.002050706,0.430970818,0.809006745,0.930221692,47063.06699
,,,kalman_struct,0.123552208,241.318125,0.025459955,0.478201242,0.001227274,0.438660948,0.801613745,0.929726007,47065.61018
,,,kalman_arima,0.245831813,231.1042882,0.02457907,0.455872149,0.001334569,0.438438584,0.770409733,0.931990407,47115.48851
,,,gp_rbf,0.259693138,243.1979167,0.026002482,0.467885792,0.001013268,0.401394167,0.765649087,0.915650374,48229.02336
