基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,,预测窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,saits,6.212568442,1292671677,0.386611488,0.422341058,7.094064748,0.696446405,0.680369841,0.146214588,14621.76466,0.945050658,6.53974334,0.982766066,0.992465865,0.305286362,5087.098201
,,0.3,均值,13.91880417,1028814517,0.345189028,0.33672259,8.420652325,0.668684577,0.614482695,0.166182139,14551.42659,0.922951391,3.697889248,0.986570732,0.978570327,0.233798087,5196.303318
,,,前项,16.9868927,945353207.7,0.352028424,0.60525503,26.19585033,0.634517137,0.659787937,0.260197087,14599.6355,0.962843631,-1.544633268,0.98653236,0.981608409,0.293456752,5223.152622
,,,后向,15.95807139,1161342776,0.363888798,0.64084921,8.916927032,0.643529952,0.637695184,0.197298751,14626.08174,0.948470923,22.52232403,0.975800724,0.978316627,0.35055573,5235.978297
,,,线性,14.74271329,1010080251,0.333509047,0.502529833,19.12233892,0.630518667,0.601958033,0.244339427,14599.72324,0.933416955,2.332217124,0.988162599,0.995437715,0.222333727,5207.971461
,,,kalman_struct,18.03532537,1098391516,0.351738368,0.639042864,24.07827012,0.646876486,0.613192413,0.224308027,14618.27655,0.935934816,3.570066363,0.985097788,0.994406957,0.359470083,5224.062386
,,,kalman_arima,13.79961522,991617060.4,0.34213517,0.339513624,9.504865728,0.673248142,0.6551425,0.19178813,14544.06106,0.928529006,3.690338665,0.988110863,0.97501623,0.210016854,5208.168726
,,,gp_rbf,13.47124672,1064533579,0.336541093,0.473747362,13.57399222,0.668631059,0.647971577,0.160229739,14533.24547,0.955972307,-5.357629098,0.989491315,0.994605772,0.185663545,5182.172838
,,,saits,13.8940169,1055412327,0.337841216,0.352664449,11.17630915,0.669855989,0.701395512,0.171227889,14538.16407,0.939746643,-2.240265571,0.9903269,0.992832724,0.177892167,5173.933566
chronos2,Supply_Chain_Location_D,0,/,/,206507382.7,0.372468895,0.330535892,5.191970353,0.628741906,0.811415006,0.009072432,13936.21437,0.965172961,5.445693514,0.989514153,0.994378465,0.267922414,4854.067451
,,0.1,均值,4.929188569,286016992.9,0.412829409,0.326481647,4.01850133,0.628295625,0.725699127,0.057873996,13893.91019,0.95834898,1.518705408,0.984554388,0.967422411,0.219464639,4754.053378
,,,前项,8.262687683,328727216.7,0.478268455,0.478894617,2.786023501,0.630000439,0.714604615,0.052649774,13931.60062,0.949619663,14.11842587,0.978319514,0.896290266,0.307472767,4790.024615
,,,后向,5.988376141,268096295.1,0.397972548,0.561916847,6.619786362,0.630691014,0.716498313,0.051255532,13941.36853,0.917650968,-1.398163883,0.951622877,0.970325756,0.365238285,4955.137553
,,,线性,5.44144551,385821840.1,0.520321994,0.487156482,4.320533951,0.631068047,0.711277173,0.053797807,13936.73572,0.957305041,-6.555348996,0.873098713,0.935880947,0.448111589,4836.722982
,,,kalman_struct,5.710857232,415280466.3,0.516507768,0.711096797,4.708965874,0.633930135,0.708942401,0.047711457,13976.21028,0.967125519,-11.75871187,0.870525127,0.958127564,0.435053062,4873.388394
,,,kalman_arima,4.96359841,270926794.9,0.405472479,0.332369356,4.048560472,0.630306314,0.721159182,0.054199122,13896.46018,0.956200318,1.492964252,0.985204081,0.967330128,0.242846211,4768.928331
,,,gp_rbf,4.809532166,274909927.3,0.417127545,0.41377913,4.771301885,0.63068593,0.717323674,0.044786467,13902.48783,0.967670314,0.442809321,0.986549802,0.971370379,0.25412919,4825.194874
,,,saits,4.744030317,371717279.3,0.481048705,0.314882687,3.260199763,0.623963496,0.719451772,0.064830716,13905.2984,0.967306426,-0.816701716,0.978436314,0.987048314,0.311642265,4647.277847
,,0.2,均值,11.6211675,293574677.2,0.412903194,0.343291104,2.831326005,0.632992928,0.661632138,0.028337383,13884.39159,0.963617329,1.245880573,0.988276658,0.991959929,0.153930587,4679.121603
,,,前项,13.82461039,314205507.1,0.424622577,0.376941304,3.199482257,0.626056376,0.659546836,0.043551098,13908.41367,0.953657511,-0.653626787,0.984657306,0.991767454,0.253514801,4668.608773
,,,后向,14.77212524,291685735.5,0.424260073,0.541023969,8.414824015,0.632498545,0.661617647,0.044430554,13938.97295,0.968374408,-19.06660841,0.987295311,0.970854499,0.226256141,4885.192368
,,,线性,12.48411878,295480294.2,0.429666341,0.420057762,5.475216759,0.629769266,0.64577937,0.045815426,13916.03464,0.966022993,-3.60506016,0.964786,0.986349807,0.283780898,4806.711418
,,,kalman_struct,15.98935318,307759240.5,0.430468561,0.485177424,3.42671615,0.631593057,0.632927871,0.035212105,13931.06895,0.953613488,-6.965636309,0.973067401,0.987221311,0.301984453,4841.850045
,,,kalman_arima,11.53085645,294345283.5,0.41243026,0.347459926,2.945731258,0.636351147,0.683448414,0.034027539,13879.75683,0.962310193,1.268016209,0.987454346,0.991402343,0.146940984,4690.937361
,,,gp_rbf,14.5431544,266118442.9,0.416096786,0.437793904,2.942740502,0.634374402,0.66091133,0.031121044,13889.9243,0.971469505,0.926179863,0.985536037,0.990493466,0.185046657,4798.75168
,,,saits,11.79790815,340527094.9,0.438651622,0.335046883,4.105157986,0.628734549,0.662146943,0.043635179,13896.13727,0.934674387,0.486011744,0.972230488,0.984200513,0.267161411,4659.440116
,,0.3,均值,11.40902233,337110873.1,0.459855912,0.280395783,0.580386116,0.586580971,0.543301561,0.069079636,13868.01956,0.918310154,2.017538292,0.96763639,0.95007894,0.211922623,4778.982999
,,,前项,12.37041918,289673877.4,0.423626121,0.416333832,7.677559934,0.575671402,0.58390286,0.084250771,13892.46729,0.907464683,4.831603019,0.981227792,0.983653623,0.30165463,4791.027438
,,,后向,14.00197919,314639695.3,0.428157416,0.406307469,6.584728234,0.57400265,0.607701706,0.087989505,13903.98718,0.90211394,-3.918267529,0.976378717,0.99318173,0.303634477,4785.1983
,,,线性,11.80082703,272462570.4,0.405262903,0.390742726,6.853492956,0.575888421,0.586353286,0.084882168,13890.52428,0.920330431,-3.821159664,0.986370517,0.996573057,0.30679635,4753.893537
,,,kalman_struct,18.0012811,392100334.6,0.535962832,0.600546027,11.0459164,0.578951318,0.573102392,0.073338244,13915.32526,0.943393782,1.451939549,0.971046278,0.994089969,0.463828393,4773.3052
,,,kalman_arima,11.31088003,351277960.2,0.463649504,0.274725453,1.234570551,0.592581924,0.548780853,0.06919799,13869.44824,0.917579236,0.583987116,0.971139131,0.965566011,0.233328792,4749.168105
,,,gp_rbf,11.24921004,290410672,0.437148554,0.357256294,2.545900743,0.581671213,0.570727668,0.071388384,13867.35666,0.972483952,3.010826614,0.982077834,0.987771651,0.254134174,4736.358547
,,,saits,11.40079403,360000461.9,0.45868869,0.280779666,2.148059751,0.580267451,0.580725711,0.073838694,13871.67578,0.922774835,0.093252009,0.971731747,0.981813168,0.309634833,4728.566718
chronos2,traffic,0,/,/,2.47E-05,0.111732449,0.355880384,6.17E-07,0.926455371,0.962261252,0.675068647,-12336.14343,0.216320735,9.26E-07,0.934891067,0.992564848,0.831703421,-2720.650012
,,0.1,均值,5.433423615,2.57E-05,0.113283126,0.185931967,6.30E-07,0.838341205,0.933900251,0.768876768,-11502.64005,0.207997571,7.79E-07,0.932217177,0.990731068,0.837590365,-2697.300788
,,,前项,6.56044933,2.54E-05,0.114639723,0.319703338,6.41E-07,0.800975896,0.926071359,0.808476155,-11570.96255,0.201876851,4.04E-07,0.932267312,0.992829314,0.836527163,-2713.914709
,,,后向,7.097572406,0.000025873,0.11678182,0.33346317,6.27E-07,0.777537877,0.932497085,0.823506289,-11530.19648,0.202759623,6.61E-07,0.931162548,0.992272222,0.829312271,-2700.246215
,,,线性,6.719875145,2.60E-05,0.116734235,0.305398965,6.52E-07,0.788766582,0.927294699,0.818532986,-11677.11891,0.204371669,5.53E-07,0.932871779,0.992772593,0.837502283,-2713.671532
,,,kalman_struct,10.18395755,4.01E-05,0.121872284,0.485106652,6.08E-07,0.615038639,0.911623207,0.872784642,-11379.06079,0.230445125,1.03E-06,0.920146683,0.991225109,0.837678195,-2686.221156
,,,kalman_arima,5.351236153,2.60E-05,0.114428172,0.182531608,6.27E-07,0.83682519,0.936782386,0.778282108,-11726.17815,0.214227456,5.96E-07,0.932968841,0.989692606,0.837682567,-2696.193285
,,,gp_rbf,5.664881643,2.53E-05,0.112920085,0.234278184,6.42E-07,0.828853235,0.933847592,0.7763689,-11594.89232,0.201317406,1.06E-06,0.932432578,0.992414124,0.834053547,-2710.361123
,,,saits,1.942359233,2.53E-05,0.113569092,0.370226129,6.16E-07,0.932394947,0.967803872,0.657180938,-12424.51805,0.20910913,7.14E-07,0.937667864,0.993153997,0.837071396,-2753.48211
,,0.2,均值,11.96512409,3.55E-05,0.144544542,0.113087887,4.89E-07,0.771523057,0.887796006,0.785119044,-11092.40995,0.250548297,8.82E-07,0.930964335,0.98758409,0.840830452,-2642.113376
,,,前项,14.6486019,3.03E-05,0.137913739,0.352022058,6.84E-07,0.698837533,0.886916167,0.828821604,-11265.97696,0.211420282,9.33E-07,0.9283901,0.99233602,0.844632753,-2661.736024
,,,后向,15.07213454,3.61E-05,0.145165281,0.318865437,6.03E-07,0.689358588,0.876677347,0.838217448,-11271.95419,0.241457453,-6.69E-07,0.931664799,0.986557199,0.820353302,-2672.426549
,,,线性,14.82460183,4.94E-05,0.169033881,0.316716576,6.31E-07,0.694111743,0.869507186,0.834660307,-11478.85636,0.230932298,4.61E-08,0.916160316,0.966222204,0.834203747,-2645.250506
,,,kalman_struct,24.83050203,5.01E-05,0.168417449,0.52683425,4.95E-07,0.466002529,0.822086086,0.871869525,-11146.76802,0.292694979,5.94E-07,0.911869962,0.964931786,0.839637716,-2602.803258
,,,kalman_arima,11.77856364,3.80E-05,0.152597337,0.110986874,5.00E-07,0.771258154,0.898143484,0.797215876,-11518.52692,0.248045898,9.01E-07,0.929647589,0.987200761,0.844707156,-2642.76186
,,,gp_rbf,12.23440226,4.03E-05,0.158670904,0.192423132,5.79E-07,0.762354669,0.884602969,0.791968189,-11209.174,0.214832051,8.06E-07,0.926634268,0.989146296,0.834373909,-2640.687876
,,,saits,4.145600599,2.93E-05,0.129157202,0.350960984,5.36E-07,0.935326497,0.972835389,0.67636484,-12386.06363,0.269369006,6.86E-07,0.960319609,0.994769578,0.84051653,-2836.436448
,,0.3,均值,17.48927097,0.00005573,0.211953803,0.045783975,3.48E-07,0.67561202,0.827604553,0.804578119,-11145.88902,0.319580595,1.55E-06,0.927675583,0.981339885,0.814448751,-2621.502597
,,,前项,21.9171676,5.58E-05,0.176462798,0.372481991,5.07E-07,0.553856283,0.828887693,0.869172625,-11593.41765,0.379870861,5.78E-07,0.929243121,0.982153193,0.841291407,-2535.279517
,,,后向,20.07181842,4.16E-05,0.165524462,0.352225011,5.66E-07,0.577163872,0.821331194,0.864702892,-11606.45612,0.302163683,-3.60E-09,0.931124521,0.988312051,0.826655163,-2554.197812
,,,线性,20.61464411,5.20E-05,0.190870248,0.340684098,5.40E-07,0.565799624,0.803057925,0.872298402,-12000.63851,0.344475968,-2.93E-07,0.925940219,0.985713276,0.835947303,-2563.747155
,,,kalman_struct,32.80392768,0.000129654,0.227581471,0.604847947,4.02E-07,0.31003099,0.756360538,0.897464837,-11572.00562,0.500770439,-1.97E-06,0.899181066,0.963907322,0.84711738,-2405.72704
,,,kalman_arima,17.14702371,6.54E-05,0.234274264,0.041104885,3.51E-07,0.674063311,0.847932861,0.835042627,-11966.36995,0.299725431,1.15E-06,0.920261027,0.983070404,0.822741837,-2617.52561
,,,gp_rbf,17.24521923,6.32E-05,0.22384551,0.159336328,5.46E-07,0.662760825,0.823629024,0.822497496,-11286.73956,0.274474594,1.22E-06,0.92193791,0.98420894,0.826087603,-2580.428543
,,,saits,5.692708921,3.40E-05,0.147337478,0.354773842,4.81E-07,0.943969397,0.979940066,0.692820654,-13083.2428,0.316842841,2.43E-07,0.968812776,0.99494563,0.825749476,-2954.723272
chronos2,Water_Quality_Darwin_15T,0,/,/,18.66167942,0.016757182,0.973253087,-0.002360626,0.761507391,0.79478627,0.890527447,26833.56749,0.803009727,0.000531872,0.990447548,0.98753909,0.88282864,521.0000248
,,0.1,均值,0.560923405,19.48498806,0.017925641,0.740328896,-0.002299064,0.180983078,0.732424643,0.969207803,31513.10899,0.38988712,0.0012788,0.759933487,0.959000273,0.928838895,856.1548885
,,,前项,0.129176868,21.45531277,0.017894418,0.960838895,-0.002346763,0.620503029,0.770465072,0.922632072,27245.61004,0.719862771,0.000702571,0.986572396,0.992133331,0.922651155,512.7975026
,,,后向,0.128294337,19.51505534,0.017178729,0.965240344,-0.002354507,0.669549085,0.770735014,0.915942923,27190.37382,0.705980623,0.001142443,0.988475702,0.991394215,0.920270235,547.4615962
,,,线性,0.086860019,18.24969889,0.016688614,0.970981054,-0.002347581,0.713041807,0.783496604,0.906472973,26668.01429,0.707828188,0.001056034,0.987384093,0.989311788,0.915259387,526.2049648
,,,kalman_struct,0.101536616,18.13391791,0.016741289,0.965947636,-0.002348752,0.690685237,0.786021261,0.913743904,26674.41959,0.718253205,0.000845205,0.985432656,0.989580791,0.909051879,526.8122847
,,,kalman_arima,0.55583935,19.81848958,0.018018266,0.737218701,-0.002316809,0.182460944,0.72999986,0.975602632,29786.03302,0.539147632,0.000979603,0.902289558,0.987189212,0.91341556,672.5843425
,,,gp_rbf,0.11356816,19.23079427,0.017017617,0.970638031,-0.002348061,0.70194629,0.762142336,0.903794307,27079.91134,0.703432968,0.00103398,0.987768293,0.990775552,0.917672138,526.9074248
,,,saits,0.124979723,19.11804877,0.017156838,0.970356685,-0.002336096,0.696638298,0.76825314,0.907084063,27012.63135,0.731694839,0.000648272,0.987363491,0.990774037,0.897176332,480.1140942
,,0.2,均值,0.904009324,24.64848362,0.021310896,0.623263127,-0.00218904,0.150542657,0.531305421,0.945684507,33359.70302,0.282925708,0.001257244,0.576116768,0.905442177,0.935960326,1164.426415
,,,前项,0.276449661,21.85904948,0.018080568,0.949213584,-0.002374955,0.498703675,0.701310919,0.937434473,27519.96344,0.709059937,0.000902636,0.940173768,0.978182192,0.917027217,575.9815709
,,,后向,0.289917914,20.17181261,0.01731259,0.956033711,-0.002353476,0.517337061,0.676437635,0.927533109,27539.64802,0.739052516,0.000972991,0.960967505,0.97015875,0.935190214,543.5172175
,,,线性,0.195568101,22.9447347,0.018726031,0.966597649,-0.00236189,0.631863465,0.745634452,0.926775368,26396.57989,0.790243411,0.000799718,0.978876289,0.98563465,0.911391138,504.9191262
,,,kalman_struct,0.219360337,23.93674588,0.019284119,0.954802428,-0.002365381,0.559754994,0.752125048,0.94829834,26433.61288,0.738309965,0.000848818,0.938143375,0.972904245,0.909771459,537.6532192
,,,kalman_arima,0.911090487,23.40093316,0.020866082,0.626842699,-0.002199563,0.151879551,0.541166222,0.951418058,31104.90718,0.382777324,0.000787065,0.778936508,0.975614656,0.942498807,971.3088849
,,,gp_rbf,0.239654615,19.48368056,0.017280469,0.965584352,-0.002359741,0.607307037,0.680272081,0.903215343,27255.65584,0.82159771,0.000932465,0.958030964,0.966937807,0.914545186,500.683192
,,,saits,0.243358724,20.83280165,0.018095587,0.965962198,-0.002348952,0.617460283,0.727868764,0.908052821,27200.72578,0.785397768,0.000532653,0.979383303,0.983652118,0.913743718,421.8843454
,,0.3,均值,1.613059267,25.10762533,0.022470164,0.517640503,-0.001787956,0.080972942,0.517578493,0.954706993,34429.15796,0.477368864,0.00399233,0.532533508,0.808018235,0.937695305,1133.48083
,,,前项,0.408469898,16.03339572,0.016652589,0.939489404,-0.002376439,0.408009127,0.70762328,0.948153691,27934.1145,0.704848482,0.001162128,0.964521384,0.985739646,0.924909815,512.008893
,,,后向,0.423340187,18.01161024,0.016718565,0.93791434,-0.002358003,0.415232193,0.710490909,0.94047033,27865.21573,0.719566641,0.001619636,0.943644,0.989752102,0.938601226,541.0082455
,,,线性,0.290606863,19.21102702,0.017935162,0.960664204,-0.002354707,0.569950403,0.743033139,0.934790716,26170.46191,0.697459824,0.001636967,0.973823172,0.990854417,0.937870309,556.7172411
,,,kalman_struct,0.36356329,20.75375841,0.018260521,0.952578899,-0.002360633,0.565857915,0.765313878,0.956749033,26201.53787,0.690148642,0.001685175,0.971504289,0.988296183,0.94363611,566.6894089
,,,kalman_arima,1.595935695,24.4171658,0.022569019,0.52382993,-0.001797735,0.084332989,0.516343836,0.960855405,31951.88802,0.609586717,0.00292387,0.674247119,0.894354995,0.923157761,980.849674
,,,gp_rbf,0.335307295,22.65265842,0.018196251,0.960828852,-0.002361572,0.519795591,0.665094781,0.916352846,27509.56866,0.7987009,0.001561693,0.968491447,0.978409165,0.898867216,516.6991372
,,,saits,0.364574085,18.00539008,0.017395266,0.960497541,-0.002313739,0.519072034,0.690572539,0.91459871,27636.52502,0.722241768,0.000778935,0.976490748,0.991061864,0.932333319,341.3096396
chronos2,weather,0,/,/,248.1998264,0.025816956,0.487395924,0.001170128,0.460181028,0.818307964,0.925045726,47688.55182,0.482554037,-0.003154726,0.911444492,0.962134861,0.935521538,1399.595655
,,0.1,均值,0.481431977,270.9954514,0.026535096,0.374137153,0.001058251,0.390940698,0.713338205,0.923883407,48555.39553,0.420392379,-0.005682483,0.770488214,0.925505331,0.932689772,1696.602665
,,,前项,0.22711282,247.3865278,0.025902523,0.467361553,0.001192782,0.385445337,0.802976258,0.933692036,47716.94908,0.540840727,-0.002410982,0.903608592,0.972325026,0.947554927,1431.715187
,,,后向,0.19966768,241.5853472,0.025452769,0.474548637,0.001055704,0.426676469,0.7892694,0.924852092,47683.51809,0.497992969,-0.002345448,0.89944754,0.966413691,0.953309703,1397.836944
,,,线性,0.129610102,250.9946181,0.025936152,0.488351829,0.002050706,0.430970818,0.809006745,0.930221692,47063.06699,0.550658932,-0.00254783,0.887226897,0.975319257,0.955300939,1408.251205
,,,kalman_struct,0.123552208,241.318125,0.025459955,0.478201242,0.001227274,0.438660948,0.801613745,0.929726007,47065.61018,0.527823209,-0.002462137,0.878105928,0.974298517,0.94470525,1395.284423
,,,kalman_arima,0.245831813,231.1042882,0.02457907,0.455872149,0.001334569,0.438438584,0.770409733,0.931990407,47115.48851,0.509770458,-0.003126894,0.865766596,0.906225213,0.948337123,1397.238549
,,,gp_rbf,0.259693138,243.1979167,0.026002482,0.467885792,0.001013268,0.401394167,0.765649087,0.915650374,48229.02336,0.558712392,-0.002213704,0.918622695,0.961915928,0.952178877,1427.913402
,,,saits,0.233699507,260.6677257,0.026614366,0.479448146,0.00113544,0.431773475,0.791655051,0.92956743,47545.91314,0.475478952,-0.002284071,0.920171413,0.963884271,0.951654557,1403.223805
,,0.2,均值,0.775410063,310.3753472,0.028185077,0.321363245,0.00105437,0.305202601,0.669854248,0.933463041,48602.18042,0.331351831,-0.004847159,0.645405888,0.827814271,0.950622773,1715.670612
,,,前项,0.382967478,268.1844097,0.026193687,0.455236432,0.001155324,0.36385093,0.778094348,0.926172881,47830.86675,0.440050709,-0.001509637,0.838016631,0.966345898,0.96798417,1374.22876
,,,后向,0.371971321,250.1257118,0.025644188,0.452973854,0.001313948,0.354156781,0.726071271,0.936480911,47849.68795,0.457337856,-0.002848395,0.852996002,0.924554056,0.950576948,1358.218153
,,,线性,0.222053055,241.8890625,0.024896007,0.468885536,0.001167131,0.404364713,0.785022694,0.936553538,46832.47251,0.535963441,-0.003251417,0.867625724,0.968903238,0.950426915,1336.738975
,,,kalman_struct,0.204178402,263.9631597,0.02639991,0.460013594,0.000965359,0.428269828,0.810446059,0.939931733,46840.68386,0.503455714,-0.00237108,0.90962703,0.964910976,0.953583747,1347.596362
,,,kalman_arima,0.413608065,250.6191667,0.025746647,0.417657337,0.001544746,0.382779562,0.750167304,0.930983688,46907.14234,0.428330236,-0.001869516,0.803718939,0.896199209,0.93746692,1398.265277
,,,gp_rbf,0.421035926,227.3816493,0.024349222,0.448850728,0.001483803,0.381436596,0.710812098,0.923259848,47667.12692,0.405016285,-0.002632606,0.846165946,0.976489929,0.964291992,1327.989568
,,,saits,0.484815722,239.5671528,0.025011564,0.42159976,0.001514428,0.360535598,0.732357893,0.937958885,47596.85639,0.400906783,-0.002753821,0.790417333,0.921738456,0.936142943,1365.518686
,,0.3,均值,1.141649441,351.676875,0.030713039,0.356905485,0.000707484,0.403765499,0.547327629,0.904799172,44989.06952,0.20706049,-0.001686309,0.59109963,0.703372151,0.947785133,1666.311832
,,,前项,0.465000606,274.0299826,0.026960403,0.539938421,0.001106825,0.409198252,0.736951777,0.93195796,44028.07513,0.450581384,-0.001579239,0.779030244,0.909556408,0.951089101,1291.39329
,,,后向,0.523661909,277.0276563,0.026818356,0.516428484,0.001032905,0.470016893,0.768421166,0.927337463,44084.74032,0.440353269,-0.001810859,0.853584066,0.964188449,0.971557539,1270.089394
,,,线性,0.297373655,281.9065278,0.026637594,0.60561284,0.001011846,0.548178399,0.783601024,0.925238048,41983.55275,0.51373202,-0.001999056,0.848494743,0.957994729,0.976906252,1276.478932
,,,kalman_struct,0.283039601,282.4253472,0.02683002,0.539916045,0.001011044,0.533919315,0.797717134,0.939856854,41990.6266,0.473446559,-0.002040094,0.850243629,0.961012342,0.976415317,1281.060437
,,,kalman_arima,0.473055943,259.058559,0.026018956,0.570202699,0.000909857,0.549950185,0.728473896,0.922522346,42036.95868,0.430806604,-0.001622848,0.687897952,0.887190858,0.972621957,1142.271627
,,,gp_rbf,0.669045944,239.4591146,0.025250156,0.568561426,0.000993269,0.480463374,0.628929554,0.912467773,43925.54943,0.372653549,-0.002643815,0.738371334,0.917250739,0.967311956,1250.248684
,,,saits,0.706775703,266.7514236,0.026889112,0.563916858,0.000891711,0.505774772,0.680596183,0.909538506,43238.26435,0.373037121,-0.002558628,0.789164316,0.956348297,0.954074039,1360.192235
timesfm2p5,Australia_Solar_H,0,/,/,80400986203,0.869016702,0.448924597,26.99683895,0.853232691,0.917909176,0.921141646,61667.87353,0.472778406,-50.23895723,0.994786103,0.989796296,0.790760436,8995.326669
,,0.1,均值,11.23686442,86932552126,0.934237382,0.367673292,24.91708153,0.794010221,0.881129877,0.892655288,62752.56736,0.513733613,-47.6005796,0.987627204,0.980846394,0.772303651,9044.623513
,,,前项,13.11979804,88784961827,0.918251945,0.420496347,25.8294637,0.747640622,0.877774083,0.90703645,62609.00318,0.47790389,-51.73061277,0.993916533,0.997289713,0.792098011,9099.474466
,,,后向,12.50456793,87663600672,0.912205144,0.45851774,26.66533398,0.75410106,0.878992031,0.899562607,62675.08631,0.517703788,-64.71496022,0.992401587,0.996858813,0.762634355,9121.719257
,,,线性,12.95531673,86943634409,0.926058538,0.43095712,25.91245377,0.758733848,0.875889352,0.91535549,62526.48429,0.516577132,-49.91554714,0.994783951,0.996329439,0.740099265,9066.970964
,,,kalman_struct,15.65907154,84039712695,0.968356632,0.571939437,27.44920478,0.654706554,0.841300861,0.919274626,62626.97208,0.654325493,-28.07326577,0.994289567,0.993719728,0.680011025,9157.990451
,,,kalman_arima,10.98281264,85745815752,0.954930503,0.379111621,25.23874192,0.797605409,0.88668544,0.90081523,62521.47935,0.506156868,-46.29431844,0.990378295,0.977580384,0.754606749,9052.771404
,,,gp_rbf,11.57451687,86869106288,0.933109828,0.399276667,25.74733545,0.786161075,0.881788768,0.897882225,62619.89385,0.369653562,-33.11815784,0.988095283,0.991025443,0.770705861,9021.509373
,,,saits,9.901465869,85760374647,0.961688311,0.437497846,24.89848668,0.832059211,0.91283815,0.900024408,62027.98778,0.447418989,-58.2014288,0.99097564,0.995896392,0.816230713,9071.199099
,,0.2,均值,23.49740644,95005888275,0.982007933,0.232167866,23.74857227,0.702961869,0.834761358,0.89089427,63097.58401,0.363665803,-29.91968877,0.9905996,0.989883757,0.761795442,9063.068605
,,,前项,23.84061434,94957793589,0.947372193,0.349500411,29.29075708,0.637052689,0.849256132,0.91456302,62950.46395,0.559545674,-42.82669974,0.982587079,0.980580447,0.752551978,9138.458495
,,,后向,23.97406199,94524111877,0.95482038,0.37752017,28.15666346,0.635691301,0.856823552,0.914601699,62909.61399,0.534849507,-67.88487383,0.962371018,0.972704368,0.764617536,9162.013177
,,,线性,24.63885241,94455054991,0.955505118,0.350687688,29.8082703,0.639029681,0.851727492,0.917999692,62814.99057,0.524545317,-59.21890388,0.979207775,0.976576947,0.762368221,9123.028259
,,,kalman_struct,29.35215855,1.05E+11,1.034877019,0.59477213,30.5436506,0.489549017,0.813216938,0.926582615,62943.4554,0.710466652,-56.64838416,0.980043875,0.973492731,0.726530883,9280.762101
,,,kalman_arima,23.05139234,93324410443,0.977177654,0.255301204,25.71138131,0.715653501,0.867271325,0.899255013,62813.49041,0.390966678,-26.65324784,0.991363851,0.988814069,0.758292841,9048.116
,,,gp_rbf,23.37421455,95791341604,0.981648205,0.284219077,28.98606682,0.700177851,0.850879223,0.89535222,63009.18901,0.399565043,-22.45933673,0.990943457,0.9937374,0.729781291,9076.798259
,,,saits,21.66892915,92638324836,0.982808142,0.414673044,25.78360012,0.814292338,0.916732209,0.891905804,62042.94558,0.48344922,-62.36442449,0.986150163,0.979536699,0.801276455,9095.954405
,,0.3,均值,35.2291409,92834655546,0.996358645,0.152045041,13.94742353,0.620704458,0.783062552,0.883772466,63455.43227,0.281163051,-5.41667265,0.981352664,0.996347241,0.782537886,9152.513303
,,,前项,34.98787885,1.24E+11,1.003421697,0.378560856,22.00565442,0.533757705,0.762891221,0.906212544,63305.31827,0.521004167,-31.50468177,0.963437718,0.982514544,0.788691579,9167.968143
,,,后向,36.17782021,1.03E+11,0.980925677,0.373641561,16.52708627,0.51738831,0.755266921,0.905652636,63268.36411,0.517772787,-47.65852767,0.96878401,0.980115619,0.788105942,9134.858511
,,,线性,36.91659107,1.03E+11,0.988661678,0.349574987,18.62131756,0.526819627,0.707268407,0.916683162,63082.09529,0.531111345,-22.91047406,0.967561176,0.979655488,0.75116535,9125.606628
,,,kalman_struct,43.85267687,1.28E+11,1.080259436,0.630629374,22.65557009,0.371871708,0.639344905,0.90862986,63274.10139,0.839455248,5.732360399,0.978641149,0.992107031,0.696283235,9286.852581
,,,kalman_arima,34.57681036,90945280046,0.994271554,0.158515662,14.56964051,0.633055128,0.791144453,0.897856939,63054.63564,0.313766702,-10.7570337,0.983656973,0.996772398,0.779289717,9153.126663
,,,gp_rbf,34.92516918,97335423358,1.008358562,0.227273145,22.74914561,0.613448876,0.772480202,0.886918892,63390.30501,0.34203555,-19.58326685,0.966518403,0.988272336,0.751858501,9077.656178
,,,saits,31.16833124,93273566158,0.979725052,0.351338703,17.1210448,0.778445362,0.917565188,0.887751844,62258.53698,0.385926084,-43.24751314,0.986769142,0.997939952,0.821085452,9163.056372
timesfm2p5,azure2019_U_5T,0,/,/,2630.607986,1.30892512,0.106050206,0.016994057,0.221981896,0.634620574,0.324985935,8616.76028,0.7251553,-0.018644154,0.704493274,0.402921787,0.796597645,2480.677192
,,0.1,均值,4.650542736,3073.25,1.334796566,0.116018822,0.017072779,0.240236881,0.635066822,0.286393601,8565.185236,0.56827727,-0.001361866,0.753831609,0.67283518,0.778811855,849.4788475
,,,前项,4.612352848,3458.775,1.34667867,0.11945964,0.016987945,0.189625328,0.627522691,0.376969597,8582.596791,0.607627082,-0.000978342,0.798542169,0.524555058,0.566389026,804.8579828
,,,后向,4.052372456,2946.059028,1.318900808,0.124684575,0.016736643,0.230695771,0.632001752,0.316090439,8573.559809,0.943562606,-0.010599683,0.792878553,0.659446161,0.271735099,1154.046396
,,,线性,4.240052223,3364.600347,1.334466553,0.122018439,0.01683705,0.218852934,0.630190028,0.323612134,8565.132004,0.59501414,-0.002740378,0.451194262,0.754084813,0.702165712,837.9039781
