基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,,预测窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,前项,34.98787885,95090352237,0.996635742,0.355381513,32.45639441,0.528227387,0.781283475,0.908802208,43955.09951,0.697372232,-38.92736938,0.983350803,0.997945905,0.792078067,9341.177736
,,,后向,36.17782021,96112774422,0.995213962,0.337797586,24.91875082,0.515667885,0.771550718,0.906727135,43941.9456,0.674173042,-23.30463619,0.985240112,0.997440771,0.81108931,9285.558035
,,,线性,36.91659107,94552288279,0.998364529,0.319010605,29.91130854,0.526692053,0.738053633,0.917870634,43788.48539,0.675184355,-16.52567019,0.984757244,0.997761697,0.814762624,9263.72592
,,,kalman_struct,43.85267687,1.21E+11,1.063057977,0.640680913,46.15607732,0.384927398,0.669744266,0.913210688,43914.76464,0.847984968,13.1906751,0.987134851,0.997197409,0.763326277,9316.580246
,,,kalman_arima,34.57681036,91766356997,0.99336194,0.132476106,22.4779477,0.629035648,0.81441073,0.895808875,43762.84596,0.449876971,29.20039823,0.987325478,0.997957607,0.800214918,9226.113013
,,,gp_rbf,34.92516918,99153905801,1.002694969,0.183171727,32.14990226,0.613041879,0.799785223,0.889917734,44018.82456,0.541451539,-29.18001723,0.989186552,0.997722275,0.783110809,9252.597009
,,,saits,31.16833124,84533596652,0.968957034,0.299676679,24.43539059,0.775886619,0.924723604,0.890008811,43151.37237,0.676551311,-32.098198,0.99426935,0.998579818,0.780072378,9185.818445
sundial,Coastal_T_S_15T,0,/,/,0.005451445,0.001671544,0.313781287,-1.27E-06,0.124245889,0.153895235,0.099850654,2230.589842,0.783520955,-1.15E-05,0.271810582,0.611023029,0.307308363,-2071.0926
,,0.1,均值,0.017390705,0.005523813,0.001686733,0.308416759,-4.34E-07,0.153003826,0.144900716,0.129094268,2071.101336,0.807465151,-1.39E-05,0.303842611,0.626087578,0.384620871,-2064.860482
,,,前项,0.017299726,0.005660465,0.001682623,0.351686338,-8.88E-07,0.127756209,0.154776777,0.177883812,2104.488774,0.81032255,-1.37E-05,0.254890468,0.61279153,0.493311197,-2054.610337
,,,后向,0.015437795,0.005550479,0.001685533,0.321931637,-1.37E-06,0.117766812,0.143032421,0.164683973,2089.141928,0.815031225,-1.56E-05,0.291149792,0.596756909,0.370527385,-2071.605592
,,,线性,0.014045469,0.00566453,0.001697442,0.338542685,-1.13E-06,0.145180388,0.149595284,0.139900782,2077.660512,0.830217999,-2.16E-05,0.303180871,0.658601839,0.484110887,-2040.82748
,,,kalman_struct,0.018598755,0.005661661,0.001691049,0.340360559,-8.32E-07,0.141022333,0.147054974,0.186163022,2105.577168,0.781389245,-1.67E-05,0.350445422,0.715310957,0.576472205,-2058.470956
,,,kalman_arima,0.016386544,0.005636004,0.001699381,0.317446111,-6.50E-07,0.157188414,0.142945717,0.121757538,2063.580189,0.828542721,-1.65E-05,0.35777667,0.661651535,0.352653174,-2054.363233
,,,gp_rbf,0.014946921,0.005593692,0.001683756,0.334855769,-1.10E-06,0.136654132,0.150948624,0.119552459,2052.696834,0.827129198,-1.24E-05,0.250955983,0.592421637,0.367841897,-2080.286039
,,,saits,0.014512839,0.005664554,0.001701923,0.337196953,-9.31E-07,0.141575969,0.150037224,0.108962773,2048.574924,0.836725711,-1.51E-05,0.278538571,0.585262416,0.377345647,-2082.633596
,,0.2,均值,0.029736004,0.005564743,0.001691194,0.312517861,-8.32E-07,0.139854146,0.143677995,0.155160724,1919.961009,0.730030877,-1.37E-05,0.258121877,0.594387435,0.418491964,-2158.465692
,,,前项,0.031367271,0.005813692,0.001701144,0.339719737,-5.80E-07,0.11631614,0.162704577,0.235691639,1958.649387,0.79872241,-2.12E-05,0.244394767,0.566066203,0.498879341,-2078.387881
,,,后向,0.030479729,0.005864637,0.001703417,0.344253702,-2.41E-07,0.093573735,0.153370339,0.256040659,1961.605337,0.757076712,-1.35E-05,0.226367806,0.572087091,0.477612063,-2174.406502
,,,线性,0.028029394,0.005817396,0.001706417,0.337007163,-4.99E-07,0.115401033,0.155707844,0.219698665,1949.892854,0.80955562,-2.06E-05,0.251617959,0.594437753,0.541070905,-2093.828813
,,,kalman_struct,0.036481313,0.006135697,0.001739739,0.333046748,-7.78E-07,0.111054393,0.147477099,0.338645979,1973.712528,0.732030591,-2.35E-05,0.293127743,0.737575608,0.807284663,-2015.887338
,,,kalman_arima,0.028435809,0.005579414,0.001693639,0.322902255,-8.84E-07,0.141176528,0.145768828,0.152127293,1910.589045,0.756318578,-1.70E-05,0.302920796,0.624659369,0.457763846,-2120.736415
,,,gp_rbf,0.027220745,0.005638079,0.0016758,0.337488859,-1.01E-06,0.133199415,0.142846582,0.158786285,1905.040612,0.792082003,-1.65E-05,0.264446817,0.555721088,0.336160465,-2129.508066
,,,saits,0.027363601,0.005574751,0.001677348,0.350781103,-1.14E-06,0.144628403,0.147392864,0.128538184,1897.613261,0.810326721,-1.44E-05,0.281377716,0.571082583,0.328753995,-2168.021579
,,0.3,均值,0.046376189,0.005350216,0.001658612,0.232069913,-2.67E-07,0.138625284,0.155011636,0.206580385,1805.719273,0.732201411,-1.17E-05,0.283926341,0.587935777,0.412406594,-2152.020487
,,,前项,0.041077616,0.005426595,0.001657954,0.394914561,-8.10E-07,0.099743139,0.16921481,0.248166225,1831.853373,0.806830051,-1.00E-05,0.243253072,0.60021449,0.552585494,-2120.716724
,,,后向,0.044203514,0.005488296,0.001660708,0.373866054,-4.78E-07,0.081309308,0.155950742,0.278771835,1836.908731,0.792599993,-2.09E-05,0.178455902,0.596476835,0.663354097,-2145.328241
,,,线性,0.03873807,0.005650759,0.001694978,0.380055794,-7.04E-07,0.102767307,0.171390941,0.226980985,1822.744257,0.79715632,-1.97E-05,0.307867491,0.699626118,0.611457435,-2106.857178
,,,kalman_struct,0.056601634,0.005711194,0.001707593,0.337779074,-1.87E-06,0.084602915,0.164833003,0.444607767,1864.529323,0.707149072,-1.98E-05,0.31654504,0.759011322,0.879411111,-2036.64943
,,,kalman_arima,0.042096413,0.005510758,0.001688775,0.28142003,-7.15E-08,0.148815498,0.155205538,0.176514688,1782.428456,0.790995826,-1.40E-05,0.352107507,0.637271496,0.4899667,-2111.658197
,,,gp_rbf,0.039243061,0.005402847,0.001649443,0.370368085,-3.97E-07,0.135462619,0.151727395,0.149151782,1758.791933,0.815668136,-1.52E-05,0.264396305,0.553588445,0.332101006,-2184.335033
