model,dataset,metric,n,pearson,spearman,pearson_abs,spearman_abs,pearson_strength,spearman_strength
visiontspp,Coastal_T_S_15T,seasonal_correlation,240,-0.02357792727099837,-0.012891716870084547,0.02357792727099837,0.012891716870084547,none,none
visiontspp,Coastal_T_S_20T,seasonal_correlation,84,0.10502786345740302,0.14397084134858765,0.10502786345740302,0.14397084134858765,none,none
visiontspp,Coastal_T_S_5T,seasonal_correlation,240,0.09632058278400714,0.08126009132102988,0.09632058278400714,0.08126009132102988,none,none
visiontspp,Coastal_T_S_H,seasonal_correlation,96,0.045508083671121115,0.02288388497015735,0.045508083671121115,0.02288388497015735,none,none
visiontspp,ETTh1,seasonal_correlation,180,-0.0571988992351406,-0.05169706883957323,0.0571988992351406,0.05169706883957323,none,none
visiontspp,ETTh2,seasonal_correlation,180,0.07991390164318304,0.10312869738777947,0.07991390164318304,0.10312869738777947,none,none
visiontspp,EWELD_Load_15T,seasonal_correlation,216,0.06783879612349461,0.02586479953321664,0.06783879612349461,0.02586479953321664,none,none
visiontspp,Finland_Traffic_15T,seasonal_correlation,240,-0.054883175748007294,-0.06902116356186738,0.054883175748007294,0.06902116356186738,none,none
visiontspp,NE_China_Wind_H,seasonal_correlation,96,-0.05066890370575298,-0.09329896907216494,0.05066890370575298,0.09329896907216494,none,none
visiontspp,OpenElectricity_NEM_5T,seasonal_correlation,240,0.19233330976278068,0.11637441622250383,0.19233330976278068,0.11637441622250383,none,none
visiontspp,Port_Activity_D,seasonal_correlation,36,0.20597679637550292,0.09510309278350515,0.20597679637550292,0.09510309278350515,weak,none
visiontspp,Supply_Chain_Customer_D,seasonal_correlation,36,-0.09275272582578042,-0.25353925353925355,0.09275272582578042,0.25353925353925355,none,weak
visiontspp,Supply_Chain_Location_D,seasonal_correlation,36,-0.2270231866241677,-0.2193050193050193,0.2270231866241677,0.2193050193050193,weak,weak
visiontspp,Water_Quality_Darwin_15T,seasonal_correlation,192,0.042635195223544975,-0.004794780674388955,0.042635195223544975,0.004794780674388955,none,none
visiontspp,current_velocity_15T,seasonal_correlation,180,0.17135397154197513,0.12621788738335546,0.17135397154197513,0.12621788738335546,none,none
visiontspp,current_velocity_20T,seasonal_correlation,168,0.12498836777585848,0.1649136216156023,0.12498836777585848,0.1649136216156023,none,none
visiontspp,current_velocity_5T,seasonal_correlation,240,0.031729547085804985,0.0191244639663883,0.031729547085804985,0.0191244639663883,none,none
visiontspp,current_velocity_H,seasonal_correlation,60,-0.03632316536259697,0.05740483467629899,0.03632316536259697,0.05740483467629899,none,none
visiontspp,electricity,seasonal_correlation,240,-0.049598807831600734,-0.020920502092050205,0.049598807831600734,0.020920502092050205,none,none
visiontspp,exchange_rate,seasonal_correlation,132,-0.08076530961112226,-0.0529655158019963,0.08076530961112226,0.0529655158019963,none,none
